# t (s)	mx ()	my ()	mz ()	E_total (J)
3.051284978575676e-12	-4.2686463e-09	1.8768311e-09	0.99602973	1.1422474e-18
3.101729153554375e-12	-4.272461e-09	1.8930435e-09	0.99602973	1.1427116e-18
3.150640159050789e-12	-4.2591095e-09	1.8939972e-09	0.99602973	1.1438456e-18
3.2019933290535756e-12	-4.3144226e-09	1.9176005e-09	0.99602973	1.14496e-18
3.2506751590770108e-12	-4.337311e-09	1.888275e-09	0.99602973	1.1459609e-18
3.302103658305758e-12	-4.356384e-09	1.8873214e-09	0.9960297	1.1471794e-18
3.350893008541679e-12	-4.386902e-09	1.8310546e-09	0.9960296	1.1483072e-18
3.40173519087657e-12	-4.3907167e-09	1.835823e-09	0.9960297	1.1491218e-18
3.4516712195509048e-12	-4.4193267e-09	1.8177032e-09	0.9960297	1.1493095e-18
3.50099318248537e-12	-4.4403077e-09	1.8119812e-09	0.99602973	1.1491205e-18
3.552314026192136e-12	-4.4231414e-09	1.8596649e-09	0.99602973	1.1486638e-18
3.6010461404506155e-12	-4.4469832e-09	1.8692017e-09	0.9960296	1.1481572e-18
3.652113382804704e-12	-4.4822692e-09	1.9016266e-09	0.9960297	1.1475786e-18
3.701278484380744e-12	-4.488945e-09	1.935959e-09	0.99602973	1.1473124e-18
3.751312673069606e-12	-4.4937134e-09	1.906395e-09	0.9960297	1.1475624e-18
3.8019361234506225e-12	-4.451752e-09	1.9140243e-09	0.99602973	1.1482119e-18
3.85021592559027e-12	-4.447937e-09	1.9598008e-09	0.99602973	1.1489742e-18
3.901585050450643e-12	-4.4345856e-09	1.9779205e-09	0.99602973	1.1502249e-18
3.950980951311531e-12	-4.447937e-09	2.038002e-09	0.9960296	1.151968e-18
4.0007702262982925e-12	-4.451573e-09	2.0618438e-09	0.9960296	1.1541534e-18
4.05037368106949e-12	-4.4345856e-09	2.108574e-09	0.9960296	1.1562221e-18
4.101487407700504e-12	-4.426956e-09	2.1429063e-09	0.9960296	1.1573998e-18
4.151777849195927e-12	-4.3849946e-09	2.1495818e-09	0.99602956	1.1579004e-18
4.200790869406585e-12	-4.4288635e-09	2.1333695e-09	0.9960296	1.1575143e-18
4.2510938475264065e-12	-4.476547e-09	2.117157e-09	0.9960296	1.156452e-18
4.301160284864235e-12	-4.5433044e-09	2.1305084e-09	0.9960296	1.1552898e-18
4.351925871018589e-12	-4.611015e-09	2.0971298e-09	0.9960296	1.1544991e-18
4.401503964281966e-12	-4.6443938e-09	2.1123887e-09	0.9960297	1.154488e-18
4.4500829391552405e-12	-4.646301e-09	2.1467208e-09	0.99602973	1.1556091e-18
4.501376581989829e-12	-4.611969e-09	2.3212432e-09	0.9960296	1.156942e-18
4.552474607849656e-12	-4.5833586e-09	2.4204254e-09	0.9960296	1.1581215e-18
4.601316368123689e-12	-4.550934e-09	2.5088787e-09	0.99602956	1.159542e-18
4.650356462234289e-12	-4.465103e-09	2.6121139e-09	0.9960295	1.1611907e-18
4.7018229732210224e-12	-4.372597e-09	2.7332305e-09	0.99602944	1.1628106e-18
4.750363677318988e-12	-4.3468473e-09	2.7551652e-09	0.99602944	1.16403e-18
4.8012724400945865e-12	-4.3029784e-09	2.7885436e-09	0.9960294	1.1651566e-18
4.851971438672013e-12	-4.289627e-09	2.7952194e-09	0.9960294	1.1660996e-18
4.900539342140835e-12	-4.2295456e-09	2.8219223e-09	0.9960294	1.1674073e-18
4.952317128754286e-12	-4.18663e-09	2.9497147e-09	0.9960294	1.1695252e-18
5.001603612015005e-12	-4.18663e-09	3.0875207e-09	0.9960293	1.1717137e-18
5.052198341811585e-12	-4.236221e-09	3.1633378e-09	0.9960294	1.1726472e-18
5.101471087288006e-12	-4.3621062e-09	3.1642913e-09	0.9960294	1.1724048e-18
5.151806210095343e-12	-4.3830872e-09	3.088951e-09	0.9960294	1.1711616e-18
5.201480296672624e-12	-4.402161e-09	3.013611e-09	0.9960294	1.1695546e-18
5.251351142219032e-12	-4.3964388e-09	2.8858185e-09	0.9960294	1.1680847e-18
5.3017125393536446e-12	-4.4078825e-09	2.7713776e-09	0.9960294	1.1669173e-18
5.350001007848095e-12	-4.3582915e-09	2.6624203e-09	0.9960294	1.166016e-18
5.401111801077368e-12	-4.2886734e-09	2.591133e-09	0.99602944	1.1653406e-18
5.450317971782844e-12	-4.2629242e-09	2.5310516e-09	0.99602944	1.1650686e-18
5.5003137323393e-12	-4.1770933e-09	2.49815e-09	0.99602944	1.1654114e-18
5.551160179330488e-12	-4.0950776e-09	2.411127e-09	0.99602944	1.1665175e-18
5.601849370057599e-12	-3.9482115e-09	2.3088456e-09	0.9960294	1.1674878e-18
5.652496741278169e-12	-3.845215e-09	2.1972657e-09	0.99602944	1.1684314e-18
5.702244102239264e-12	-3.826141e-09	2.0737647e-09	0.9960294	1.1685873e-18
5.7511174530941426e-12	-3.7593844e-09	2.053261e-09	0.9960294	1.1680666e-18
5.802178813356871e-12	-3.7889483e-09	2.1009445e-09	0.99602944	1.1673482e-18
5.851029230204065e-12	-3.7822723e-09	2.1162032e-09	0.9960294	1.1668198e-18
5.900423279980131e-12	-3.7727355e-09	2.1696092e-09	0.9960294	1.1666906e-18
