column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
9.994424600000000325e-01,9.994035999999999476e-01,9.993980500000000378e-01,9.993908400000000025e-01,9.993817999999999868e-01,9.993714700000000395e-01,9.993617500000000486e-01,9.993596999999999619e-01,9.993653999999999593e-01,9.993772499999999948e-01,9.993929999999999758e-01,9.994098000000000148e-01,9.994256999999999724e-01,9.994385000000000074e-01,9.994467999999999686e-01,9.994505999999999668e-01,9.994503000000000137e-01,9.994467500000000504e-01,9.994406700000000310e-01,9.994326000000000043e-01,9.994232699999999747e-01
9.986222399999999944e-01,9.986098399999999708e-01,9.986132399999999576e-01,9.986130600000000523e-01,9.986130600000000523e-01,9.986136599999999586e-01,9.986144000000000132e-01,9.986144300000000529e-01,9.986144000000000132e-01,9.986144000000000132e-01,9.986146700000000376e-01,9.986148500000000539e-01,9.986146000000000189e-01,9.986146000000000189e-01,9.986146999999999663e-01,9.986146999999999663e-01,9.986146999999999663e-01,9.986146999999999663e-01,9.986146999999999663e-01,9.986148500000000539e-01,9.986146999999999663e-01
9.951685000000000114e-01,9.952193999999999763e-01,9.952478999999999631e-01,9.952621000000000384e-01,9.952689399999999909e-01,9.952723399999999776e-01,9.952739499999999628e-01,9.952744000000000035e-01,9.952744000000000035e-01,9.952741999999999978e-01,9.952737999999999863e-01,9.952735000000000332e-01,9.952729999999999633e-01,9.952725000000000044e-01,9.952718999999999872e-01,9.952714400000000072e-01,9.952708500000000402e-01,9.952703999999999995e-01,9.952699000000000407e-01,9.952693000000000234e-01,9.952687999999999535e-01
