map,plane,i,j,u_nm,v_nm,value
rms,xy,0,0,0.25,0.25,7.205585e-06
rms,xy,0,1,0.25,0.75,7.19261e-06
rms,xy,0,2,0.25,1.25,7.2030152e-06
rms,xy,0,3,0.25,1.75,7.3486053e-06
rms,xy,0,4,0.25,2.25,7.678629e-06
rms,xy,0,5,0.25,2.75,8.272338e-06
rms,xy,0,6,0.25,3.25,9.342256e-06
rms,xy,0,7,0.25,3.75,1.1037371e-05
rms,xy,0,8,0.25,4.25,1.3025357e-05
rms,xy,0,9,0.25,4.75,1.5143098e-05
rms,xy,0,10,0.25,5.25,1.7370536e-05
rms,xy,0,11,0.25,5.75,1.9697367e-05
rms,xy,0,12,0.25,6.25,2.2100781e-05
rms,xy,0,13,0.25,6.75,2.4554345e-05
rms,xy,0,14,0.25,7.25,2.7001268e-05
rms,xy,0,15,0.25,7.75,2.9389108e-05
rms,xy,0,16,0.25,8.25,3.1667987e-05
rms,xy,0,17,0.25,8.75,3.3827815e-05
rms,xy,0,18,0.25,9.25,3.58809e-05
rms,xy,0,19,0.25,9.75,3.7866474e-05
rms,xy,0,20,0.25,10.25,3.9812978e-05
rms,xy,0,21,0.25,10.75,4.1733678e-05
rms,xy,0,22,0.25,11.25,4.36172e-05
rms,xy,0,23,0.25,11.75,4.5438985e-05
rms,xy,0,24,0.25,12.25,4.717117e-05
rms,xy,0,25,0.25,12.75,4.8772934e-05
rms,xy,0,26,0.25,13.25,5.0205992e-05
rms,xy,0,27,0.25,13.75,5.141943e-05
rms,xy,0,28,0.25,14.25,5.2388896e-05
rms,xy,0,29,0.25,14.75,5.3101812e-05
rms,xy,0,30,0.25,15.25,5.3584365e-05
rms,xy,0,31,0.25,15.75,5.3871103e-05
rms,xy,0,32,0.25,16.25,5.39991e-05
rms,xy,0,33,0.25,16.75,5.3997835e-05
rms,xy,0,34,0.25,17.25,5.3877688e-05
rms,xy,0,35,0.25,17.75,5.3665684e-05
rms,xy,0,36,0.25,18.25,5.3374028e-05
rms,xy,0,37,0.25,18.75,5.304354e-05
rms,xy,0,38,0.25,19.25,5.2688363e-05
rms,xy,0,39,0.25,19.75,5.2342428e-05
rms,xy,0,40,0.25,20.25,5.2012503e-05
rms,xy,0,41,0.25,20.75,5.1716648e-05
rms,xy,0,42,0.25,21.25,5.144504e-05
rms,xy,0,43,0.25,21.75,5.118967e-05
rms,xy,0,44,0.25,22.25,5.0931234e-05
rms,xy,0,45,0.25,22.75,5.0676754e-05
rms,xy,0,46,0.25,23.25,5.0445917e-05
rms,xy,0,47,0.25,23.75,5.02827e-05
rms,xy,0,48,0.25,24.25,5.0212853e-05
rms,xy,0,49,0.25,24.75,5.0256076e-05
rms,xy,0,50,0.25,25.25,5.040115e-05
rms,xy,0,51,0.25,25.75,5.0643528e-05
rms,xy,0,52,0.25,26.25,5.095849e-05
rms,xy,0,53,0.25,26.75,5.1327082e-05
rms,xy,0,54,0.25,27.25,5.1703435e-05
rms,xy,0,55,0.25,27.75,5.2054962e-05
rms,xy,0,56,0.25,28.25,5.235344e-05
rms,xy,0,57,0.25,28.75,5.2609896e-05
rms,xy,0,58,0.25,29.25,5.2850457e-05
rms,xy,0,59,0.25,29.75,5.3111766e-05
rms,xy,0,60,0.25,30.25,5.341241e-05
rms,xy,0,61,0.25,30.75,5.3749634e-05
rms,xy,0,62,0.25,31.25,5.409739e-05
rms,xy,0,63,0.25,31.75,5.44209e-05
rms,xy,0,64,0.25,32.25,5.467537e-05
rms,xy,0,65,0.25,32.75,5.4824744e-05
rms,xy,0,66,0.25,33.25,5.4818847e-05
rms,xy,0,67,0.25,33.75,5.4626977e-05
rms,xy,0,68,0.25,34.25,5.4202523e-05
rms,xy,0,69,0.25,34.75,5.354019e-05
rms,xy,0,70,0.25,35.25,5.263178e-05
rms,xy,0,71,0.25,35.75,5.1520947e-05
rms,xy,0,72,0.25,36.25,5.024058e-05
rms,xy,0,73,0.25,36.75,4.8843518e-05
rms,xy,0,74,0.25,37.25,4.7349367e-05
rms,xy,0,75,0.25,37.75,4.577271e-05
rms,xy,0,76,0.25,38.25,4.4108507e-05
rms,xy,0,77,0.25,38.75,4.2356845e-05
rms,xy,0,78,0.25,39.25,4.052437e-05
rms,xy,0,79,0.25,39.75,3.862516e-05
rms,xy,0,80,0.25,40.25,3.66787e-05
rms,xy,0,81,0.25,40.75,3.4696484e-05
rms,xy,0,82,0.25,41.25,3.2689186e-05
rms,xy,0,83,0.25,41.75,3.0653995e-05
rms,xy,0,84,0.25,42.25,2.8591836e-05
rms,xy,0,85,0.25,42.75,2.6488367e-05
rms,xy,0,86,0.25,43.25,2.4329614e-05
rms,xy,0,87,0.25,43.75,2.2095277e-05
rms,xy,0,88,0.25,44.25,1.9780404e-05
rms,xy,0,89,0.25,44.75,1.7412982e-05
rms,xy,0,90,0.25,45.25,1.5056668e-05
rms,xy,0,91,0.25,45.75,1.28204065e-05
rms,xy,0,92,0.25,46.25,1.0785052e-05
rms,xy,0,93,0.25,46.75,9.12335e-06
rms,xy,0,94,0.25,47.25,8.1123235e-06
rms,xy,0,95,0.25,47.75,7.594923e-06
rms,xy,0,96,0.25,48.25,7.321545e-06
rms,xy,0,97,0.25,48.75,7.192334e-06
rms,xy,0,98,0.25,49.25,7.1837094e-06
rms,xy,0,99,0.25,49.75,7.2020625e-06
rms,xy,1,0,0.75,0.25,7.1935715e-06
rms,xy,1,1,0.75,0.75,7.169498e-06
rms,xy,1,2,0.75,1.25,7.261849e-06
rms,xy,1,3,0.75,1.75,7.5273197e-06
rms,xy,1,4,0.75,2.25,8.500601e-06
rms,xy,1,5,0.75,2.75,9.657981e-06
rms,xy,1,6,0.75,3.25,1.2388889e-05
rms,xy,1,7,0.75,3.75,1.7494067e-05
rms,xy,1,8,0.75,4.25,2.2230306e-05
rms,xy,1,9,0.75,4.75,2.6075653e-05
rms,xy,1,10,0.75,5.25,2.9478728e-05
rms,xy,1,11,0.75,5.75,3.2738408e-05
rms,xy,1,12,0.75,6.25,3.6167017e-05
rms,xy,1,13,0.75,6.75,3.976752e-05
rms,xy,1,14,0.75,7.25,4.3341795e-05
rms,xy,1,15,0.75,7.75,4.6453235e-05
rms,xy,1,16,0.75,8.25,4.8874164e-05
rms,xy,1,17,0.75,8.75,5.0592123e-05
rms,xy,1,18,0.75,9.25,5.179526e-05
rms,xy,1,19,0.75,9.75,5.2812145e-05
rms,xy,1,20,0.75,10.25,5.3940304e-05
rms,xy,1,21,0.75,10.75,5.538045e-05
rms,xy,1,22,0.75,11.25,5.7162146e-05
rms,xy,1,23,0.75,11.75,5.927403e-05
rms,xy,1,24,0.75,12.25,6.164822e-05
rms,xy,1,25,0.75,12.75,6.423346e-05
rms,xy,1,26,0.75,13.25,6.686987e-05
rms,xy,1,27,0.75,13.75,6.9366826e-05
rms,xy,1,28,0.75,14.25,7.147841e-05
rms,xy,1,29,0.75,14.75,7.3051786e-05
rms,xy,1,30,0.75,15.25,7.4037875e-05
rms,xy,1,31,0.75,15.75,7.4486205e-05
rms,xy,1,32,0.75,16.25,7.447558e-05
rms,xy,1,33,0.75,16.75,7.4000374e-05
rms,xy,1,34,0.75,17.25,7.314653e-05
rms,xy,1,35,0.75,17.75,7.2007344e-05
rms,xy,1,36,0.75,18.25,7.093605e-05
rms,xy,1,37,0.75,18.75,7.021403e-05
rms,xy,1,38,0.75,19.25,7.01976e-05
rms,xy,1,39,0.75,19.75,7.094354e-05
rms,xy,1,40,0.75,20.25,7.241638e-05
rms,xy,1,41,0.75,20.75,7.4318115e-05
rms,xy,1,42,0.75,21.25,7.621488e-05
rms,xy,1,43,0.75,21.75,7.757856e-05
rms,xy,1,44,0.75,22.25,7.795993e-05
rms,xy,1,45,0.75,22.75,7.719631e-05
rms,xy,1,46,0.75,23.25,7.545609e-05
rms,xy,1,47,0.75,23.75,7.3277464e-05
rms,xy,1,48,0.75,24.25,7.128274e-05
rms,xy,1,49,0.75,24.75,7.005235e-05
rms,xy,1,50,0.75,25.25,6.983607e-05
rms,xy,1,51,0.75,25.75,7.067183e-05
rms,xy,1,52,0.75,26.25,7.227188e-05
rms,xy,1,53,0.75,26.75,7.41985e-05
rms,xy,1,54,0.75,27.25,7.5838085e-05
rms,xy,1,55,0.75,27.75,7.669029e-05
rms,xy,1,56,0.75,28.25,7.648328e-05
rms,xy,1,57,0.75,28.75,7.532394e-05
rms,xy,1,58,0.75,29.25,7.363012e-05
rms,xy,1,59,0.75,29.75,7.1956216e-05
rms,xy,1,60,0.75,30.25,7.08058e-05
rms,xy,1,61,0.75,30.75,7.043906e-05
rms,xy,1,62,0.75,31.25,7.089245e-05
rms,xy,1,63,0.75,31.75,7.1971066e-05
rms,xy,1,64,0.75,32.25,7.3410345e-05
rms,xy,1,65,0.75,32.75,7.486259e-05
rms,xy,1,66,0.75,33.25,7.605297e-05
rms,xy,1,67,0.75,33.75,7.671009e-05
rms,xy,1,68,0.75,34.25,7.674436e-05
rms,xy,1,69,0.75,34.75,7.607297e-05
rms,xy,1,70,0.75,35.25,7.479415e-05
rms,xy,1,71,0.75,35.75,7.2979725e-05
rms,xy,1,72,0.75,36.25,7.0849084e-05
rms,xy,1,73,0.75,36.75,6.853221e-05
rms,xy,1,74,0.75,37.25,6.620215e-05
rms,xy,1,75,0.75,37.75,6.391768e-05
rms,xy,1,76,0.75,38.25,6.176165e-05
rms,xy,1,77,0.75,38.75,5.9775026e-05
rms,xy,1,78,0.75,39.25,5.799277e-05
rms,xy,1,79,0.75,39.75,5.638573e-05
rms,xy,1,80,0.75,40.25,5.4823096e-05
rms,xy,1,81,0.75,40.75,5.3098407e-05
rms,xy,1,82,0.75,41.25,5.09962e-05
