frame,time_ns,dx_nm,dy_nm,dz_nm,dr_nm
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.004058174816915283,0.00019223735708351342,-0.03174174344953329,0.03200068773107999
2,0.1,0.00828730447870285,0.008668205135531792,-0.16097255108570963,0.1614186463790221
3,0.15000000000000002,-0.004485464251711591,0.011632418880008544,-0.506032460430557,0.5061860167645454
4,0.2,-0.014475983241528212,0.0005425170497517229,-1.0520036500173617,1.05210338278394
5,0.25,-0.0028239228191146992,-0.006536354739669292,-1.7378416318031071,1.7378562183625714
6,0.30000000000000004,0.010473193387444013,-0.009640700590903606,-2.51027559422932,2.5103159541920177
7,0.35000000000000003,0.027910638317983683,0.01614975151744602,-3.399334836885096,3.399487777808006
8,0.4,0.0006719340449024003,0.027039714464805797,-4.4317534446241496,4.431835984283682
9,0.45,0.00024883121932717245,0.0008682288048795783,-5.538952624864951,5.538952698501456
10,0.5,0.019477366669509166,-0.013245754501500784,-6.706285538228478,6.70632690360954
