map,plane,i,j,u_nm,v_nm,value
rms,xy,0,0,0.25,0.25,6.615475e-05
rms,xy,0,1,0.25,0.75,6.981946e-05
rms,xy,0,2,0.25,1.25,7.229216e-05
rms,xy,0,3,0.25,1.75,7.365692e-05
rms,xy,0,4,0.25,2.25,7.554495e-05
rms,xy,0,5,0.25,2.75,7.7586534e-05
rms,xy,0,6,0.25,3.25,8.094204e-05
rms,xy,0,7,0.25,3.75,8.542574e-05
rms,xy,0,8,0.25,4.25,9.095375e-05
rms,xy,0,9,0.25,4.75,9.505361e-05
rms,xy,0,10,0.25,5.25,9.823872e-05
rms,xy,0,11,0.25,5.75,9.999157e-05
rms,xy,0,12,0.25,6.25,0.00010169607
rms,xy,0,13,0.25,6.75,0.000102881684
rms,xy,0,14,0.25,7.25,0.000104659295
rms,xy,0,15,0.25,7.75,0.00010618668
rms,xy,0,16,0.25,8.25,0.000108174056
rms,xy,0,17,0.25,8.75,0.000109556044
rms,xy,0,18,0.25,9.25,0.00011100847
rms,xy,0,19,0.25,9.75,0.00011160665
rms,xy,0,20,0.25,10.25,0.00011225251
rms,xy,0,21,0.25,10.75,0.00011223615
rms,xy,0,22,0.25,11.25,0.000112590526
rms,xy,0,23,0.25,11.75,0.00011257544
rms,xy,0,24,0.25,12.25,0.00011307114
rms,xy,0,25,0.25,12.75,0.00011314468
rms,xy,0,26,0.25,13.25,0.00011356947
rms,xy,0,27,0.25,13.75,0.000113428374
rms,xy,0,28,0.25,14.25,0.00011360797
rms,xy,0,29,0.25,14.75,0.0001133183
rms,xy,0,30,0.25,15.25,0.000113513655
rms,xy,0,31,0.25,15.75,0.000113409034
rms,xy,0,32,0.25,16.25,0.000113902825
rms,xy,0,33,0.25,16.75,0.000114129514
rms,xy,0,34,0.25,17.25,0.00011487404
rms,xy,0,35,0.25,17.75,0.00011517118
rms,xy,0,36,0.25,18.25,0.000115777
rms,xy,0,37,0.25,18.75,0.00011579652
rms,xy,0,38,0.25,19.25,0.000116151365
rms,xy,0,39,0.25,19.75,0.00011608394
rms,xy,0,40,0.25,20.25,0.00011655767
rms,xy,0,41,0.25,20.75,0.00011668837
rms,xy,0,42,0.25,21.25,0.000117281685
rms,xy,0,43,0.25,21.75,0.00011737265
rms,xy,0,44,0.25,22.25,0.000117876174
rms,xy,0,45,0.25,22.75,0.00011802662
rms,xy,0,46,0.25,23.25,0.00011886115
rms,xy,0,47,0.25,23.75,0.00011949345
rms,xy,0,48,0.25,24.25,0.00012063701
rms,xy,0,49,0.25,24.75,0.000121104764
rms,xy,0,50,0.25,25.25,0.0001215481
rms,xy,0,51,0.25,25.75,0.000121015895
rms,xy,0,52,0.25,26.25,0.00012054388
rms,xy,0,53,0.25,26.75,0.000119483164
rms,xy,0,54,0.25,27.25,0.00011892164
rms,xy,0,55,0.25,27.75,0.00011800966
rms,xy,0,56,0.25,28.25,0.00011756668
rms,xy,0,57,0.25,28.75,0.00011661276
rms,xy,0,58,0.25,29.25,0.00011604243
rms,xy,0,59,0.25,29.75,0.000115062976
rms,xy,0,60,0.25,30.25,0.00011467987
rms,xy,0,61,0.25,30.75,0.000114048155
rms,xy,0,62,0.25,31.25,0.000113977425
rms,xy,0,63,0.25,31.75,0.000113470276
rms,xy,0,64,0.25,32.25,0.000113289374
rms,xy,0,65,0.25,32.75,0.00011254797
rms,xy,0,66,0.25,33.25,0.00011214864
rms,xy,0,67,0.25,33.75,0.00011129877
rms,xy,0,68,0.25,34.25,0.00011091339
rms,xy,0,69,0.25,34.75,0.00011016079
rms,xy,0,70,0.25,35.25,0.00010991172
rms,xy,0,71,0.25,35.75,0.00010929443
rms,xy,0,72,0.25,36.25,0.00010915307
rms,xy,0,73,0.25,36.75,0.00010860674
rms,xy,0,74,0.25,37.25,0.00010855034
rms,xy,0,75,0.25,37.75,0.0001081916
rms,xy,0,76,0.25,38.25,0.00010849909
rms,xy,0,77,0.25,38.75,0.00010864254
rms,xy,0,78,0.25,39.25,0.00010940896
rms,xy,0,79,0.25,39.75,0.000109717075
rms,xy,0,80,0.25,40.25,0.000110175635
