source,freq_ghz,dataset,preferred,window,start_frac,end_frac,duration_ns,slope_nj_per_s,background_slope_nj_per_s,corrected_slope_nj_per_s,r2,n_points,delta_e_aj,data_path
srcX,300.0,srcX_05ns,True,10_100,0.1,1.0,0.49900137457126054,-0.5562803627850387,0.002772266093196028,-0.5590526288782347,0.31506018001385894,450,-0.5344364000000003,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/05ns/sw_f300GHz.out/table.txt
srcX,300.0,srcX_05ns,True,20_100,0.2,1.0,0.49900137457126054,-0.2487606943363437,0.002094920876264422,-0.25085561521260813,0.2233127882165843,400,0.034050800000000055,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/05ns/sw_f300GHz.out/table.txt
srcX,300.0,srcX_05ns,True,30_100,0.3,1.0,0.49900137457126054,-0.43599007618818986,0.002449880744652873,-0.4384399569328427,0.6529713732025126,350,-0.12264920000000004,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/05ns/sw_f300GHz.out/table.txt
srcX,300.0,srcX_05ns,True,40_100,0.4,1.0,0.49900137457126054,-0.2485860037550665,0.0020323817378846473,-0.2506183854929512,0.6174320154414853,300,-0.08792220000000023,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/05ns/sw_f300GHz.out/table.txt
srcX,300.0,srcX_05ns,True,50_100,0.5,1.0,0.49900137457126054,-0.2492787168792766,0.0006325777244673759,-0.24991129460374398,0.567133062678677,250,-0.02760410000000015,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/05ns/sw_f300GHz.out/table.txt
srcX,400.0,srcX_02ns,False,00_100,0.0,1.0,0.2,1.914738775309907,0.016614866149376545,1.8981239091605304,0.3774796927998514,201,0.7614573999999998,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/02ns/sw_f400GHz.out/table.txt
srcX,400.0,srcX_02ns,False,10_100,0.1,1.0,0.2,0.9593738834542617,0.019204727045225918,0.9401691564090358,0.1699739202791538,181,0.3837363999999998,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/02ns/sw_f400GHz.out/table.txt
srcX,400.0,srcX_02ns,False,20_100,0.2,1.0,0.2,-0.02746594416671829,0.009915232723355077,-0.037381176890073364,0.00026476499083205596,161,0.16932419999999984,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/02ns/sw_f400GHz.out/table.txt
srcX,400.0,srcX_02ns,False,30_100,0.3,1.0,0.2,-0.8683905359252581,0.0024053129798822922,-0.8707958489051404,0.3020517556221446,141,-0.0967320000000002,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/02ns/sw_f400GHz.out/table.txt
srcX,400.0,srcX_02ns,False,40_100,0.4,1.0,0.2,-1.4777603626032305,-0.001892966313059807,-1.4758673962901707,0.6416966010920325,121,-0.05006970000000014,/mnt/d/Research/Hopfion/20260105_frustrated_fm/spin_wave_dynamics/freq_sweep/plane_wave/srcX/02ns/sw_f400GHz.out/table.txt
