t_ns,z_nm,core
0.0,25.12620117338138,388
0.05,25.1162728161726,380
0.1,25.113651589729606,380
0.15000000000000002,25.114745332171132,380
0.2,25.117745606848406,380
0.25,25.121726017932886,380
0.30000000000000004,25.126209400003578,384
0.35000000000000003,25.130943692453393,388
0.4,25.135791157678703,388
0.45,25.140672023188316,396
0.5,25.14553593752895,396
0.55,25.15034947278986,396
0.6000000000000001,25.155088346620847,396
0.65,25.15973207780218,404
0.7000000000000001,25.164264340226936,404
0.75,25.168672212483685,404
0.8,25.172943940705295,404
0.8500000000000001,25.177071644752672,404
0.9,25.181049070497885,404
0.9500000000000001,25.184871339261377,404
1.0,25.18853587509872,404
