group,t_ns,R_nm,r_nm
Small,0.0,3.0721006048678987,1.9518540541518037
Small,0.1,2.2784167015260075,1.7958277491036503
Small,0.2,2.2924493467136435,1.920026784671901
Small,0.30000000000000004,2.3529245207830844,1.9807643910022061
Small,0.4,2.3805473975910427,2.056028833929578
Small,0.5,2.3549956108321113,2.1432770161605617
Small,0.6000000000000001,2.428876455098421,2.1238839129598572
Small,0.7000000000000001,2.433989251048991,2.161979578538256
Small,0.8,2.4907198191734796,2.170549350183157
Small,0.9,2.509652384624762,2.177551704554785
Small,1.0,2.565796551025093,2.17391089440714
Small,1.1,2.577213510195611,2.180515257079524
Small,1.2000000000000002,2.5900575892624444,2.1877051023834384
Small,1.3,2.6014025095040534,2.1779880933115336
Small,1.4000000000000001,2.6014025095040534,2.1925035618906983
Small,1.5,2.6014025095040534,2.212468261438453
Small,1.6,2.6014025095040534,2.2066589825816725
Small,1.7000000000000002,2.6014025095040534,2.2229773557604466
Small,1.8,2.6014025095040534,2.234352328460887
Small,1.9000000000000001,2.6014025095040534,2.2389102565438392
Small,2.0,2.6014025095040534,2.24214906199185
Small,2.1,2.6014025095040534,2.2384400116808547
Small,2.2,2.6014025095040534,2.239431105692739
Small,2.3000000000000003,2.6014025095040534,2.2527298203483213
Small,2.4000000000000004,2.6014025095040534,2.2621223802646213
Small,2.5,2.6014025095040534,2.2640239279044176
Small,2.6,2.6014025095040534,2.2642322973804996
Small,2.7,2.6014025095040534,2.2652348138933367
Small,2.8000000000000003,2.6014025095040534,2.262312656182731
Small,2.9000000000000004,2.5994385827713886,2.2742853424855674
Small,3.0,2.597736512936413,2.2856385207284116
R8r4,0.0,8.121466446253537,3.9311038852308147
R8r4,0.05,7.180257668801568,2.7734277895707
R8r4,0.1,6.77781829411449,2.9308609212131636
R8r4,0.15000000000000002,6.422986249029579,3.0171000652463156
R8r4,0.2,6.026960047744814,3.1394256039176853
R8r4,0.25,5.634917408644271,3.2599637635007106
R8r4,0.30000000000000004,5.297349669762091,3.3013966381311453
R8r4,0.35000000000000003,5.021653687131504,3.266895199602731
R8r4,0.4,4.641322626156853,3.305161938070852
R8r4,0.45,4.287642048199157,3.247542883280512
R8r4,0.5,3.9063691862448215,3.114209020878325
R8r4,0.55,3.45004519340345,2.9517830649545584
R8r4,0.6000000000000001,3.057145006946015,2.746690073703079
R8r4,0.65,2.780786050093519,2.5677464140908515
