group,t_ns,R_nm,r_nm
R8r4,0.7000000000000001,2.7060328600216703,2.393246039621935
R8r4,0.75,2.585350921352265,2.4139460088597944
R8r4,0.8,2.585350921352265,2.344507412400367
R8r4,0.8500000000000001,2.601402509504054,2.3317575589694743
R8r4,0.9,2.6295321949181947,2.312780153789297
R8r4,0.9500000000000001,2.6014025095040534,2.3515215604550983
R8r4,1.0,2.6295321949181947,2.358534281628561
R12r5,0.0,12.12790992783903,4.935916639906399
R12r5,0.05,11.580069796333884,3.044190023302042
R12r5,0.1,11.178691002640164,3.3300951528229272
R12r5,0.15000000000000002,10.993752707782036,3.4599353597467046
R12r5,0.2,10.684043304683538,3.565092829423479
R12r5,0.25,10.4693709833083,3.6594739815642066
R12r5,0.30000000000000004,10.185937464696595,3.7212271474877467
R12r5,0.35000000000000003,9.879221413914781,3.790258145156878
R12r5,0.4,9.627383202851995,3.8609666598590873
R12r5,0.45,9.343335581622696,3.9237562008639166
R12r5,0.5,9.024299590038996,4.011417085225126
R12r5,0.55,8.71219907588194,4.053524213974596
R12r5,0.6000000000000001,8.347349538410539,4.10223878854499
R12r5,0.65,7.889854758586474,4.101982462764464
R12r5,0.7000000000000001,7.293554905785479,4.081116845640535
R12r5,0.75,6.406177160436527,4.074544675790449
R12r5,0.8,5.285911533987803,3.9527493665620033
R12r5,0.8500000000000001,4.033079078728509,3.6430756202255923
R12r5,0.9,3.160442198214239,3.1482162712882618
R12r5,0.9500000000000001,2.81292726742018,2.7119825624070435
R12r5,1.0,2.721781209341486,2.497542320547445
R12r5,1.05,2.6014025095040534,2.445936857740856
R12r5,1.1,2.6014025095040534,2.4290629435195767
R12r5,1.1500000000000001,2.6295321949181947,2.453141624976025
R12r5,1.2000000000000002,2.721781209341486,2.4438858647857815
R12r5,1.25,2.7466962330129157,2.5094448151798177
R12r5,1.3,2.7826104914366923,2.505624360839127
R12r5,1.35,2.795353303233548,2.4832502255796927
R12r5,1.4000000000000001,2.780786050093519,2.4283826904899004
R12r5,1.4500000000000002,2.7178510031754826,2.3811855150458876
R12r5,1.5,2.662776368589453,2.3380518551686578
R12r5,1.55,2.585350921352265,2.296218893402225
R12r5,1.6,2.5900575892624444,2.232647821055074
R12r5,1.6500000000000001,2.518665284648704,2.2309302395052186
R12r5,1.7000000000000002,2.428876455098421,2.2607293186963737
R12r5,1.75,2.442734143811351,2.2647428834649266
R12r5,1.8,2.472817792730699,2.257322443114242
R12r5,1.85,2.5561232270960916,2.2539595508662953
R12r5,1.9000000000000001,2.585350921352265,2.2951358421952825
R12r5,1.9500000000000002,2.6014025095040534,2.3493914281629786
R12r5,2.0,2.6522443354827523,2.3737080927970196
R12r5,2.0500000000000003,2.7178510031754826,2.374312176136984
R12r5,2.1,2.7178510031754826,2.4131536697672002
R12r5,2.15,2.7335387081599896,2.3999320688196177
R12r5,2.2,2.7178510031754826,2.4118067935570755
R12r5,2.25,2.7178510031754826,2.39907398572226
R12r5,2.3000000000000003,2.7178510031754826,2.387363156593575
R12r5,2.35,2.7178510031754826,2.3647263713252897
R12r5,2.4000000000000004,2.7178510031754826,2.3404825441616897
R12r5,2.45,2.6925025256114927,2.3408835264806758
R12r5,2.5,2.6627763685894537,2.363270076647678
R12r5,2.5500000000000003,2.6627763685894537,2.345512107730578
R12r5,2.6,2.69188318093577,2.2972931824216944
R12r5,2.6500000000000004,2.662776368589453,2.3080131025745994
R12r5,2.7,2.662776368589453,2.300200662471348
R12r5,2.75,2.6014025095040534,2.335764270410678
R12r5,2.8000000000000003,2.6014025095040534,2.3201090872057866
R12r5,2.85,2.6014025095040534,2.3083921908945695
R12r5,2.9000000000000004,2.6014025095040534,2.2998287851900314
R12r5,2.95,2.6014025095040534,2.295097091606946
R12r5,3.0,2.6014025095040534,2.2851327257270695
R12r5,3.0500000000000003,2.6014025095040534,2.2839425722497273
R12r5,3.1,2.6014025095040534,2.2794387556398137
R12r5,3.1500000000000004,2.6014025095040534,2.278191516168651
R12r5,3.2,2.6014025095040534,2.265164280638094
R12r5,3.25,2.6014025095040534,2.2763372309098933
R12r5,3.3000000000000003,2.609088996488486,2.2757563955607725
R12r5,3.35,2.6295321949181947,2.2608274468179737
R12r5,3.4000000000000004,2.6295321949181947,2.2771903773605824
R12r5,3.45,2.5900575892624444,2.298695652251125
R12r5,3.5,2.6014025095040534,2.287859004083338
R12r5,3.5500000000000003,2.6014025095040534,2.2863707563099065
R12r5,3.6,2.6014025095040534,2.281294052493894
R12r5,3.6500000000000004,2.6014025095040534,2.2856491956756604
R12r5,3.7,2.5994385827713886,2.2983511889046855
R12r5,3.75,2.6001330401468192,2.2887864514505134
R12r5,3.8000000000000003,2.5965952727325803,2.286583051714779
R12r5,3.85,2.6295321949181947,2.2748626405486037
R12r5,3.9000000000000004,2.6295321949181947,2.2663344814874575
R12r5,3.95,2.6295321949181947,2.257428541660389
R12r5,4.0,2.601402509504054,2.273437275368946
R12r5,4.05,2.6295321949181947,2.253606875915565
R12r5,4.1000000000000005,2.6295321949181947,2.2620014318021058
R12r5,4.15,2.585350921352265,2.2747633972889414
R12r5,4.2,2.609088996488486,2.2582231066156377
R12r5,4.25,2.5900575892624444,2.277218480459285
R12r5,4.3,2.6014025095040534,2.2571713135464977
R12r5,4.3500000000000005,2.6014025095040534,2.2657672622205878
R12r5,4.4,2.6014025095040534,2.253183782302883
R12r5,4.45,2.6014025095040534,2.2593928299361914
R12r5,4.5,2.6014025095040534,2.267108396903718
R12r5,4.55,2.6014025095040534,2.259107227711239
R12r5,4.6000000000000005,2.6014025095040534,2.2556335857515304
R12r5,4.65,2.6014025095040534,2.2678518095973654
R12r5,4.7,2.5994385827713886,2.2723001580306303
R12r5,4.75,2.5900575892624444,2.289948375533795
R12r5,4.800000000000001,2.585350921352265,2.281502454521636
R12r5,4.8500000000000005,2.6295321949181947,2.2607654650800453
R12r5,4.9,2.6295321949181947,2.2460931760082348
R12r5,4.95,2.601402509504054,2.2661024488863797
