freq,t_ns,dx,dy,dz
75,0.0,0.0,0.0,0.0
75,0.01,-0.027263728918633493,0.018532327847243124,-0.005695157560168696
75,0.02,0.0719459969638585,-0.0475287007920251,-0.020036637627491416
75,0.03,0.010630215578682824,-0.06498862640130199,0.021191589104802237
75,0.04,0.019262561592206854,0.0447247233119974,-0.03225693108484151
75,0.05,0.013979138785742862,0.03118255961366856,0.03676910549551238
75,0.06,0.025124734412017347,0.013447556916961645,0.028188501770983976
75,0.07,0.019183437410113413,-0.03666071724133246,0.02757575281267322
75,0.08,0.0030418177157578445,0.0006154860092912884,0.039962308798049406
75,0.09,-0.04609139480928803,-0.01845228043735503,0.03010827402009753
75,0.1,-0.050466058515731056,0.021218501443268426,0.010378130487477934
75,0.11,-0.031167300606391283,-0.001067802619054703,0.024797079307251835
75,0.12,-0.052638219550384946,-0.017692806137873163,0.014018525938872983
75,0.13,0.015072062993741753,0.0029263715020633185,0.01978096520483774
75,0.14,0.025229095368089816,-0.020612376760944077,0.007682106894346675
75,0.15,0.004191910375986652,-0.057050642815308805,0.0022778643769498785
75,0.16,-0.00929088049413096,0.020255922184432507,0.010387918039615585
75,0.17,-0.013178816642891888,0.024664534221965795,-0.0027651692846610842
75,0.18,-0.002382901643308344,0.011984931010815103,-0.02778749795442792
75,0.19,0.02290954331085615,-0.0074038088230494745,-0.03364852650177497
75,0.2,-0.021498181164790964,-0.042618329823024936,-0.02525964523734814
75,0.21,0.0021174381709307966,0.013031047612290791,-0.025823624313474625
75,0.22,0.04177786181460874,0.023960733696068104,-0.03015344155535971
75,0.23,0.016788887559862076,-0.052975297675192934,-0.041190609882761464
75,0.24,0.012661849896673518,-0.01207541264308887,-0.03501534938125773
75,0.25,0.05243829753763407,0.03165560216829633,-0.04914152277132189
75,0.26,0.1137308834010895,0.07245087951986662,-0.04061221093902035
75,0.27,-0.00589963173024799,0.017231973960736724,0.014199939705591193
75,0.28,-0.038454915910442374,0.04112314791314376,-0.011805744777870332
75,0.29,-0.02059510836491896,0.06902297434533011,-0.023144050422491347
75,0.3,-0.018708849122017313,0.012844953728762933,-0.003576571190055944
75,0.31,-0.011484882384880992,0.02190521385556821,-0.021071329572190933
75,0.32,-0.03351433491081935,0.015121909693025517,-0.03539952615753706
75,0.33,-0.03411003563633486,0.04497715766868283,-0.028751708418848665
75,0.34,-0.0153735151683847,0.02561347659719715,-0.029165833129631835
75,0.35000000000000003,-0.020116750591316904,-0.03379742581488188,-0.06294508077982641
75,0.36,-0.09783235659964619,-0.05157930532174504,-0.06386178935194309
75,0.37,-0.056806305062199414,-0.031376330365173295,-0.05446533825995914
75,0.38,0.02250549193145801,-0.048941948933922674,-0.052267345352643
75,0.39,0.015400959531792326,-0.10269719209005856,-0.0697339125564227
75,0.4,-0.03148363170345547,-0.10550708408158371,-0.06310316006960193
75,0.41000000000000003,0.03272319147041003,-0.032379879637893794,-0.023505980470890364
