t_ns,x_nm,y_nm,z_nm,dx_nm,dy_nm,dz_nm
0.0,25.0,25.000000000000046,24.99999999999696,0.0,0.0,0.0
0.05,29.760302065302646,24.99986559613893,25.000037300785493,4.760302065302646,-0.00013440386111795988,3.73007885343668e-05
0.1,30.609484167725636,25.000371918014604,25.000102820802326,5.609484167725636,0.00037191801455804807,0.00010282080536683225
0.15000000000000002,30.789808099403285,25.000641036180586,25.000151921202573,5.789808099403285,0.000641036180539345,0.00015192120561380307
0.2,30.776855073554565,24.99869195598098,25.000825655207326,5.7768550735545645,-0.0013080440190655906,0.0008256552103667048
0.25,30.702355472374688,24.999520280872023,25.00110729130943,5.702355472374688,-0.00047971912802324823,0.001107291312472114
0.30000000000000004,30.616187669575087,24.99838382339212,25.001899677048666,5.616187669575087,-0.0016161766079250128,0.001899677051707016
0.35000000000000003,30.52811969794321,24.99681965530775,25.002227614643754,5.528119697943211,-0.003180344692296444,0.0022276146467952174
0.4,30.435815641394463,24.994966898492084,25.002592803512815,5.435815641394463,-0.005033101507962101,0.0025928035158564455
0.45,30.345892887095932,24.994046197774534,25.001398262061656,5.345892887095932,-0.005953802225512561,0.0013982620646970645
0.5,30.265456003667516,24.993062814569704,25.000449269830767,5.265456003667516,-0.006937185430341941,0.0004492698338083301
0.55,30.198835885923913,24.993185950070938,24.999245445155566,5.198835885923913,-0.006814049929108279,-0.0007545548413929737
0.6000000000000001,30.146599695396645,24.993370939577563,24.998325778204492,5.146599695396645,-0.006629060422483235,-0.001674221792466568
0.65,30.106417140851033,24.993286047615292,24.998453736705187,5.106417140851033,-0.006713952384753696,-0.0015462632917717656
0.7000000000000001,30.074114672087646,24.993498282095356,24.99874156647011,5.074114672087646,-0.006501717904690452,-0.0012584335268499558
0.75,30.045199222475006,24.99389039963903,24.998412332338095,5.045199222475006,-0.0061096003610146,-0.0015876676588639782
0.8,30.017297174558657,24.9938278130529,24.998333850113642,5.0172971745586565,-0.00617218694714694,-0.0016661498833165922
0.8500000000000001,29.9907610972797,24.993536841977264,24.999093365546372,4.990761097279702,-0.0064631580227825225,-0.0009066344505868074
0.9,29.966321628365343,24.993227353656263,24.99926827306784,4.966321628365343,-0.006772646343783606,-0.0007317269291178263
0.9500000000000001,29.943552470002704,24.99243065783036,24.99987273167183,4.943552470002704,-0.007569342169684745,-0.00012726832513010322
1.0,29.921525866156067,24.992099995013454,25.00000632246293,4.921525866156067,-0.007900004986591824,6.3224659712091125e-06
1.05,29.899677743177808,24.991444336262745,24.99957784374101,4.899677743177808,-0.00855566373730099,-0.00042215625594721473
1.1,29.87807031385795,24.99039094275996,24.999502605276273,4.87807031385795,-0.009609057240087537,-0.0004973947206856622
1.1500000000000001,29.85715510323359,24.989864373679403,24.99973992835046,4.857155103233591,-0.010135626320643354,-0.00026007164649755055
1.2000000000000002,29.83744040186565,24.989709242160124,24.99940306310485,4.837440401865649,-0.010290757839921838,-0.0005969368921086016
1.25,29.819329154589038,24.98896619673927,24.999377062242214,4.819329154589038,-0.01103380326077641,-0.0006229377547448678
1.3,29.803068159955515,24.988867029728873,24.99887780436844,4.803068159955515,-0.011132970271173548,-0.001122195628518341
1.35,29.78869597670393,24.98820263110124,24.9984447234573,4.788695976703931,-0.01179736889880445,-0.001555276539658479
1.4000000000000001,29.776063152677775,24.98777026661423,24.99867376654414,4.776063152677775,-0.012229733385815678,-0.0013262334528185704
1.4500000000000002,29.764854779234845,24.98799295530189,24.99868910871091,4.764854779234845,-0.012007044698155056,-0.0013108912860495536
1.5,29.75465258968205,24.987892905729286,24.998192171382644,4.754652589682049,-0.012107094270760399,-0.0018078286143143885
1.55,29.7450326036001,24.987319895168508,24.998151925637714,4.745032603600102,-0.012680104831538586,-0.0018480743592448334
1.6,29.735650184526623,24.98752087143755,24.998017483265755,4.735650184526623,-0.012479128562496555,-0.001982516731203532
1.6500000000000001,29.726273771683104,24.987032103079947,24.99816876446458,4.726273771683104,-0.01296789692009881,-0.0018312355323786278
1.7000000000000002,29.716839014408144,24.98720514267955,24.998468955787942,4.716839014408144,-0.012794857320496789,-0.0015310442090168408
1.75,29.70737881609917,24.98742836733246,24.998117797866833,4.707378816099169,-0.012571632667587096,-0.0018822021301261316
1.8,29.697982328274144,24.98700223235984,24.997847861318174,4.6979823282741435,-0.012997767640207769,-0.0021521386787846097
1.85,29.68875443913708,24.986759908020495,24.99821843738074,4.688754439137082,-0.013240091979550783,-0.0017815626162196452
1.9000000000000001,29.67977694152418,24.98675525376591,24.997870224325705,4.679776941524182,-0.013244746234136073,-0.0021297756712534976
1.9500000000000002,29.671107656167848,24.986699068903945,24.998293241118894,4.671107656167848,-0.013300931096100754,-0.001706758878064818
2.0,29.66279552528069,24.98703705820809,24.99820402106187,4.662795525280689,-0.012962941791954563,-0.001795978935088982
2.0500000000000003,29.65487247949323,24.986779812157874,24.997808394221103,4.654872479493228,-0.013220187842172493,-0.002191605775855976
2.1,29.64737160911228,24.98629759346763,24.998046030013764,4.64737160911228,-0.013702406532416944,-0.0019539699831945256
2.15,29.640313233640967,24.986458774750893,24.998388252697566,4.640313233640967,-0.013541225249152689,-0.0016117472993926185
2.2,29.633685139016283,24.986598813981157,24.99806114371898,4.633685139016283,-0.013401186018889177,-0.0019388562779774077
2.25,29.62745339813703,24.986308845417952,24.998374242558896,4.627453398137028,-0.013691154582094356,-0.0016257574380631468
2.3000000000000003,29.621561463475594,24.98625487550617,24.997946233178332,4.621561463475594,-0.01374512449387666,-0.002053766818626457
2.35,29.615929003152804,24.985672433328048,24.997915058039442,4.615929003152804,-0.014327566671997971,-0.0020849419575164063
2.4000000000000004,29.610477523861302,24.985593149110688,24.99832839425316,4.610477523861302,-0.014406850889358225,-0.0016716057437982101
2.45,29.605123517612192,24.98589349605039,24.998164591300895,4.605123517612192,-0.014106503949655291,-0.0018354086960634675
2.5,29.599794412564957,24.98559039292214,24.997729440320473,4.5997944125649575,-0.014409607077904951,-0.002270559676485817
2.5500000000000003,29.594451187154245,24.985158148973845,24.9979489329864,4.594451187154245,-0.01484185102620117,-0.0020510670105586826
2.6,29.58908263818319,24.985315620492056,24.997636991967934,4.589082638183189,-0.014684379507990286,-0.0023630080290253375
2.6500000000000004,29.583693287299905,24.98508387920531,24.99799050528828,4.583693287299905,-0.014916120794737253,-0.0020094947086803927
2.7,29.57831892205482,24.985485356666576,24.998072930989593,4.5783189220548195,-0.01451464333347019,-0.0019270690073653896
2.75,29.57299209820318,24.985521259997423,24.997603661986133,4.57299209820318,-0.01447874000262317,-0.002396338010825616
2.8000000000000003,29.56775197196099,24.98507634579978,24.997613318478564,4.567751971960991,-0.014923654200266867,-0.0023866815183950507
2.85,29.562635719372153,24.985182533415554,24.998031930012186,4.562635719372153,-0.014817466584492678,-0.0019680699847732797
2.9000000000000004,29.557654957934805,24.985022567065432,24.99772593090404,4.557654957934805,-0.014977432934614399,-0.002274069092919717
2.95,29.55281891693257,24.985308086510056,24.99806528644361,4.552818916932569,-0.014691913489990327,-0.0019347135533500648
3.0,29.548117187650707,24.985571374161577,24.997731142636084,4.548117187650707,-0.0144286258384696,-0.0022688573608746765
3.0500000000000003,29.543532038394268,24.985162807284933,24.997530685124065,4.543532038394268,-0.01483719271511319,-0.002469314872893591
3.1,29.539051440596705,24.984993105386167,24.997963875480977,4.539051440596705,-0.015006894613879496,-0.0020361245159818964
3.1500000000000004,29.53465761750759,24.985395215555265,24.99804083870435,4.534657617507591,-0.014604784444781416,-0.001959161292610645
3.2,29.530327139273425,24.98534372271924,24.997604122962564,4.530327139273425,-0.014656277280806762,-0.002395877034395255
3.25,29.526050667192106,24.98539046354189,24.99793670146944,4.526050667192106,-0.014609536458156214,-0.0020632985275206295
3.3000000000000003,29.52181173654516,24.98513461557385,24.99754571679924,4.52181173654516,-0.014865384426197892,-0.002454283197717899
3.35,29.517605158353312,24.984747748315346,24.99781884901263,4.517605158353312,-0.015252251684700013,-0.0021811509843274735
3.4000000000000004,29.513429595101083,24.985045913261494,24.99809851748788,4.513429595101083,-0.014954086738551808,-0.0019014825090799548
3.45,29.509275964003937,24.985240780434722,24.99770483513779,4.509275964003937,-0.014759219565323889,-0.002295164859170029
3.5,29.505140102249385,24.98479706871517,24.997537019928632,4.505140102249385,-0.015202931284875376,-0.002462980068326459
3.5500000000000003,29.501031586764586,24.985116056090913,24.99756514554783,4.5010315867645865,-0.01488394390913328,-0.0024348544491274993
3.6,29.49694099309518,24.984656887779757,24.997607467297446,4.49694099309518,-0.015343112220289612,-0.002392532699513339
3.6500000000000004,29.492880253064712,24.984772204920972,24.998023636324934,4.492880253064712,-0.015227795079074014,-0.0019763636720249167
3.7,29.488849142985593,24.985157163215725,24.997814201231026,4.488849142985593,-0.014842836784321634,-0.0021857987659323896
3.75,29.484845012594274,24.98487901371272,24.997454701861553,4.484845012594274,-0.015120986287325167,-0.002545298135405716
3.8000000000000003,29.480874003275297,24.98457006755288,24.99777919186942,4.4808740032752965,-0.01542993244716584,-0.002220808127539442
3.85,29.476940574407163,24.9849375177371,24.998017387331693,4.476940574407163,-0.015062482262944599,-0.0019826126652660037
3.9000000000000004,29.473035674256543,24.98460410524627,24.997905094277062,4.473035674256543,-0.015395894753776673,-0.0020949057198969
3.95,29.469166719179917,24.9850393756162,24.997945074917183,4.469166719179917,-0.014960624383846266,-0.0020549250797756713
4.0,29.465322687820557,24.98499517220816,24.99750060268515,4.4653226878205565,-0.01500482779188772,-0.0024993973118085933
4.05,29.46150127364081,24.98455842583146,24.997616258894276,4.46150127364081,-0.01544157416858738,-0.0023837411026832456
4.1000000000000005,29.45770530936908,24.98473995307059,24.99801778709619,4.457705309369079,-0.015260046929455484,-0.0019822129007671663
4.15,29.453927918277795,24.98509515725374,24.997759891346718,4.453927918277795,-0.014904842746307878,-0.002240108650241268
4.2,29.4501618530417,24.98477045937271,24.99744623222777,4.450161853041699,-0.015229540627334615,-0.0025537677691893634
4.25,29.446414007138113,24.98505876985101,24.997620544403876,4.446414007138113,-0.01494123014903792,-0.0023794555930827244
4.3,29.442673850705532,24.984624933059482,24.99748894775155,4.442673850705532,-0.015375066940563897,-0.0025110522454099282
4.3500000000000005,29.438949323973404,24.98456473687339,24.997929566726405,4.438949323973404,-0.015435263126654775,-0.002070433270553451
4.4,29.43524032661573,24.9850005173291,24.99790472572118,4.43524032661573,-0.01499948267094453,-0.0020952742757778253
4.45,29.43154047848184,24.98489012356193,24.997470360974614,4.431540478481839,-0.015109876438117453,-0.0025296390223452647
4.5,29.427853044633387,24.984473795310926,24.997648893916747,4.4278530446333875,-0.015526204689120249,-0.002351106080212162
4.55,29.424184349055142,24.984738712200627,24.997440560049938,4.4241843490551425,-0.01526128779941871,-0.002559439947020792
4.6000000000000005,29.420526652738975,24.98445133385597,24.99778456826323,4.420526652738975,-0.015548666144077572,-0.002215431733727513
4.65,29.416887165640834,24.984834001368295,24.997998894161086,4.4168871656408335,-0.015165998631751165,-0.002001105835873318
4.7,29.41325885177757,24.98496994167415,24.99757539691801,4.41325885177757,-0.015030058325894657,-0.002424603078949872
4.75,29.409640299577458,24.984523412022238,24.997508705549336,4.4096402995774575,-0.015476587977808265,-0.0024912944476227494
4.800000000000001,29.406037045559746,24.98453182253679,24.997952640177648,4.406037045559746,-0.015468177463255017,-0.0020473598193113673
4.8500000000000005,29.40244643725554,24.984962671923284,24.997859029429282,4.402446437255541,-0.015037328076761725,-0.0021409705676767032
4.9,29.39886143874828,24.984647971897065,24.998007301501733,4.3988614387482805,-0.015352028102981308,-0.0019926984952256532
4.95,29.395288306566425,24.984988553761767,24.9977222240634,4.3952883065664246,-0.015011446238279547,-0.0022777759335603776
5.0,29.39171822264955,24.984645064120425,24.99743150332924,4.391718222649551,-0.015354935879621223,-0.00256849666772041
5.050000000000001,29.38815657586359,24.98441760984912,24.99781434825356,4.38815657586359,-0.015582390150925107,-0.002185651743399575
5.1000000000000005,29.384605335926043,24.98483474408745,24.997967511243548,4.384605335926043,-0.015165255912595654,-0.002032488753410888
5.15,29.381058038716844,24.984908685291103,24.99752818538248,4.381058038716844,-0.015091314708943315,-0.0024718146144806497
5.2,29.377518264271004,24.984930187691297,24.997871435672568,4.3775182642710035,-0.015069812308748709,-0.0021285643243906804
5.25,29.373983595108825,24.984792461322133,24.99744647294696,4.373983595108825,-0.015207538677913135,-0.0025535270499972285
5.300000000000001,29.370455233132915,24.984395983447993,24.997652931488073,4.370455233132915,-0.015604016552053679,-0.0023470685088859966
5.3500000000000005,29.366938726006627,24.9846684530526,24.998005287467535,4.366938726006627,-0.015331546947447094,-0.0019947125294237367
5.4,29.363429830126023,24.984962461656686,24.997673236198178,4.363429830126023,-0.015037538343360524,-0.0023267637987807177
5.45,29.35992486443279,24.98458128466372,24.99743908001511,4.3599248644327915,-0.015418715336327438,-0.0025609199818497075
5.5,29.356429675905005,24.984415591267155,24.99785411841631,4.356429675905005,-0.015584408732891575,-0.0021458815806489895
5.550000000000001,29.352943540176263,24.984459416971358,24.99751369879283,4.352943540176263,-0.015540583028688104,-0.002486301204129404
5.6000000000000005,29.349465220231146,24.984502500603796,24.997956685015833,4.349465220231146,-0.015497499396250447,-0.0020433149811260876
5.65,29.345995760479465,24.984927664988415,24.99783301744496,4.345995760479465,-0.015072335011630855,-0.002166982551997876
5.7,29.3425285504242,24.984726927879684,24.997433563930734,4.342528550424198,-0.015273072120361775,-0.002566436066224753
5.75,29.33906732840772,24.984366339104945,24.99769838837676,4.339067328407719,-0.015633660895101542,-0.0023016116201972636
5.800000000000001,29.335615909034434,24.98468834111269,24.998002660985605,4.335615909034434,-0.015311658887355861,-0.0019973390113534606
5.8500000000000005,29.33216603434258,24.984387384036186,24.9978328350642,4.332166034342581,-0.015612615963860321,-0.0021671649327572595
5.9,29.32872581328399,24.984812322336282,24.997954303302382,4.328725813283992,-0.015187677663764276,-0.0020456966945765487
5.95,29.325287332110346,24.984854470254625,24.997509284302648,4.325287332110346,-0.015145529745421271,-0.0024907156943108077
6.0,29.321851260206383,24.984408356233242,24.997544160940897,4.321851260206383,-0.015591643766803998,-0.002455839056061393
6.050000000000001,29.31842420491763,24.984519619898904,24.99797386704768,4.31842420491763,-0.015480380101141833,-0.0020261329492790026
6.1000000000000005,29.31500319810498,24.984921760338214,24.997787558375727,4.315003198104979,-0.015078239661832527,-0.0022124416212321307
6.15,29.311582957401857,24.984665356769334,24.997422043505583,4.311582957401857,-0.01533464323071243,-0.002577956491375488
6.2,29.30817217653164,24.98492109532727,24.997648116908024,4.308172176531642,-0.015078904672776616,-0.0023518830889344144
6.25,29.30476221206062,24.984525269742527,24.99744156190843,4.30476221206062,-0.015474730257519553,-0.002558438088527737
6.300000000000001,29.301359823555494,24.984390457697828,24.99786787457075,4.301359823555494,-0.01560954230221867,-0.002132125426207665
6.3500000000000005,29.297965929873662,24.984830445521066,24.997923894584794,4.297965929873662,-0.015169554478980274,-0.0020761054121649636
6.4,29.294574068381188,24.984806477446245,24.99747667006701,4.294574068381188,-0.015193522553801131,-0.00252332992995008
6.45,29.291185465095822,24.984372170861295,24.997577928477277,4.291185465095822,-0.015627829138750826,-0.0024220715196818787
6.5,29.287806673694874,24.98467740135621,24.997422278113724,4.287806673694874,-0.015322598643837892,-0.002577721883234574
6.550000000000001,29.28442874200255,24.984338128879482,24.997712090292396,4.28442874200255,-0.01566187112056383,-0.0022879097045631624
6.6000000000000005,29.281059622039304,24.984680570272424,24.99799475904567,4.2810596220393045,-0.015319429727622236,-0.0020052409512878455
6.65,29.27769385691904,24.98489674975824,24.997605622666935,4.27769385691904,-0.015103250241807586,-0.0023943773300239
6.7,29.274328702662284,24.98447325772315,24.99746201705029,4.2743287026622845,-0.01552674227689721,-0.00253798294667007
6.75,29.27097100374041,24.984402225071957,24.99790165827953,4.27097100374041,-0.015597774928089336,-0.002098341717427843
6.800000000000001,29.26762026184071,24.98484581512254,24.997890903705773,4.267620261840712,-0.015154184877506083,-0.002109096291185608
6.8500000000000005,29.264269829951868,24.984512428979812,24.99798141659541,4.264269829951868,-0.015487571020234014,-0.002018583401547147
6.9,29.260927532642675,24.984898989480197,24.997765767290186,4.260927532642675,-0.015101010519849467,-0.0022342327067725876
6.95,29.257585565568753,24.984618636271225,24.997418289253485,4.257585565568753,-0.01538136372882093,-0.0025817107434740194
7.0,29.25424840346176,24.98432552500964,24.997755273228815,4.254248403461759,-0.015674474990404974,-0.002244726768143579
7.050000000000001,29.25091979143157,24.984705686179314,24.997982830465933,4.250919791431571,-0.015294313820731986,-0.002017169531026042
7.1000000000000005,29.247593965923258,24.98486237772394,24.997565192078618,4.247593965923258,-0.015137622276107265,-0.002434807918341164
7.15,29.244272194170684,24.98481917775089,24.99790644578744,4.244272194170684,-0.015180822249156734,-0.0020935542095195103
7.2,29.240953900655278,24.984764438824858,24.997464296252744,4.240953900655278,-0.01523556117518865,-0.0025357037442148567
7.25,29.23763786687232,24.98433776091712,24.997594898231075,4.237637866872319,-0.015662239082924856,-0.0024051017658841545
7.300000000000001,29.234330538433635,24.984538038329067,24.997991578320416,4.234330538433635,-0.015461961670979463,-0.002008421676542582
7.3500000000000005,29.23102748839827,24.984890359527633,24.997721412168588,4.231027488398269,-0.015109640472413588,-0.0022785878283713146
7.4,29.227724418835464,24.98456249199814,24.99741930001976,4.227724418835464,-0.015437508001905798,-0.002580699977198009
7.45,29.22442675862977,24.98432219358226,24.997794225914383,4.224426758629772,-0.01567780641778782,-0.0022057740825758287
7.5,29.221135021997288,24.984430554282476,24.997468767147854,4.221135021997288,-0.015569445717570574,-0.0025312328491047253
7.550000000000001,29.217847089278244,24.98439063206185,24.997910660461162,4.217847089278244,-0.015609367938196783,-0.002089339535796597
7.6000000000000005,29.21456610146833,24.984832730552178,24.99787341086269,4.214566101468328,-0.015167269447868392,-0.0021265891342672205
7.65,29.211285195174685,24.98471598949048,24.997443529401092,4.2112851951746855,-0.015284010509567736,-0.0025564705958665
7.7,29.208007392643747,24.984311968014037,24.997631494681215,4.208007392643747,-0.01568803198600932,-0.0023685053157436187
7.75,29.204737757442544,24.984567884209383,24.997994706194113,4.204737757442544,-0.015432115790662948,-0.0020052938028456424
7.800000000000001,29.20146898801262,24.984306888189565,24.997769552279433,4.201468988012621,-0.015693111810481497,-0.0022304477175261184
7.8500000000000005,29.198208639681116,24.984700980491247,24.997974252852558,4.198208639681116,-0.01529901950879875,-0.00202574714440118
7.9,29.19495011197416,24.984830713423857,24.99754833577569,4.194950111974158,-0.015169286576188767,-0.0024516642212688566
7.95,29.19169236031093,24.984387240024066,24.99749344872429,4.191692360310931,-0.015612759975979884,-0.002506551272670521
8.0,29.188442281524058,24.98440875631205,24.99793724753246,4.188442281524058,-0.015591243687996581,-0.0020627524645000506
8.05,29.18519863494459,24.984842034112447,24.997834854498336,4.185198634944591,-0.015157965887599545,-0.002165145498622678
8.1,29.181955448423334,24.984664257018693,24.99742694940381,4.181955448423334,-0.015335742981353206,-0.002573050593149162
8.15,29.178719824256685,24.98487020709696,24.997700736349245,4.178719824256685,-0.01512979290308536,-0.002299263647714156
8.200000000000001,29.175484337740386,24.98452398345728,24.99741911667604,4.175484337740386,-0.015476016542766757,-0.002580883320920435
8.25,29.172254361264372,24.98430649381417,24.997809281480485,4.172254361264372,-0.01569350618587606,-0.0021907185164735665
8.3,29.169032633137526,24.984727920084705,24.997952137894774,4.169032633137526,-0.015272079915341408,-0.002047862102184439
8.35,29.165812468636876,24.984792862367858,24.997512367489573,4.165812468636876,-0.015207137632188505,-0.0024876325073854844
8.4,29.162594327042896,24.984346626337175,24.99752428857278,4.162594327042896,-0.015653373662871672,-0.0024757114241786837
8.450000000000001,29.159385019506672,24.984677235703867,24.99743261957473,4.159385019506672,-0.015322764296179514,-0.0025673804222279273
8.5,29.15617557877496,24.984286541006707,24.997650543165964,4.15617557877496,-0.015713458993339202,-0.002349456830994967
8.55,29.15297459565541,24.984567549946195,24.99799575436887,4.152974595655412,-0.015432450053850744,-0.0020042456280897625
8.6,29.149777226671794,24.984855704919713,24.99765741030998,4.1497772266717945,-0.015144295080332881,-0.0023425896869788687
8.65,29.14657982948806,24.984469092372816,24.997430956810888,4.146579829488061,-0.015530907627230306,-0.002569043186070985
8.700000000000001,29.143388754736456,24.984315593387915,24.997849081813108,4.143388754736456,-0.015684406612130886,-0.002150918183851047
8.75,29.14020521965234,24.984752565012904,24.997926331850515,4.140205219652341,-0.015247434987141872,-0.002073668146444163
8.8,29.13702107161324,24.984408099279428,24.997949317294516,4.1370210716132405,-0.015591900720618668,-0.0020506827024426855
8.85,29.13384560084734,24.98483092420242,24.997814041207654,4.133845600847341,-0.015169075797626164,-0.0021859587893047205
8.9,29.130669636888488,24.984620583725473,24.997420589522275,4.130669636888488,-0.015379416274573288,-0.0025794104746843516
8.950000000000001,29.127497754916906,24.984269571095467,24.99769396973284,4.127497754916906,-0.015730428904578986,-0.00230603026411913
9.0,29.124333634510702,24.98460014123513,24.997990529671515,4.124333634510702,-0.015399858764915564,-0.0020094703254436297
9.05,29.12117234471416,24.984830411832437,24.997610655366255,4.121172344714161,-0.01516958816760905,-0.002389344630703505
9.1,29.118014072042744,24.98472494666874,24.997936801177925,4.118014072042744,-0.015275053331304633,-0.002063198819033829
9.15,29.114859162347145,24.984754724298273,24.9974931770837,4.114859162347145,-0.015245275701772698,-0.002506822913257878
9.200000000000001,29.111705829411342,24.98431090264963,24.997540946451632,4.111705829411342,-0.01568909735041757,-0.002459053545326384
9.25,29.108560122708088,24.984435838747245,24.99796811981505,4.108560122708088,-0.015564161252800801,-0.0020318801819101395
9.3,29.105419363412274,24.98483320528814,24.997767561783796,4.105419363412274,-0.015166794711905851,-0.0022324382131628795
9.35,29.102278071606094,24.98456663783188,24.997412467038558,4.102278071606094,-0.015433362168167264,-0.002587532958401084
9.4,29.099141157677032,24.984260806882038,24.99773824959185,4.099141157677032,-0.015739193118008643,-0.0022617504051076764
9.450000000000001,29.096010989001446,24.9844259700121,24.997439354668913,4.096010989001446,-0.015574029987945437,-0.0025606453280460073
9.5,29.092883305667716,24.984307852361784,24.997866800016084,4.092883305667716,-0.0156921476382621,-0.0021331999808751334
9.55,29.08976233336791,24.984750052751338,24.997907617530537,4.089762333367911,-0.01524994724870865,-0.0020923824664222934
9.600000000000001,29.0866419703116,24.98471042467477,24.997463764515796,4.0866419703116,-0.015289575325276417,-0.002536235481162663
9.65,29.083523435087187,24.98427928234812,24.99757929505103,4.083523435087187,-0.015720717651927174,-0.0024207049459299412
9.700000000000001,29.0804122892282,24.984469090438903,24.997983486438983,4.0804122892281995,-0.015530909561142892,-0.002016513557975941
