t_ns,z_nm,core
0.0,25.069436225645447,920
0.05,25.062134964847946,900
0.1,25.057062923490623,904
0.15000000000000002,25.0537815040645,904
0.2,25.052665800411575,908
0.25,25.05238180410896,908
0.30000000000000004,25.051724451806667,908
0.35000000000000003,25.05120773131055,908
0.4,25.051076727823453,908
0.45,25.05106724514041,908
0.5,25.050846595229686,908
0.55,25.050609625987065,908
0.6000000000000001,25.05057544132761,908
0.65,25.050645204756684,908
0.7000000000000001,25.050602224633412,908
0.75,25.05049649740368,908
0.8,25.050472533225268,908
0.8500000000000001,25.050508367625234,908
0.9,25.050510795757283,908
0.9500000000000001,25.050479414275774,908
1.0,25.050465338752424,908
