freq,t_ns,dx,dy,dz
100,0.0,0.0,0.0,0.0
100,0.01,-0.022806584179583925,0.012958320534263379,-0.022246389301677993
100,0.02,0.04185243802420758,0.033779987044209044,-0.03633883741648703
100,0.03,0.01225332551567604,-0.0028415211768937354,-0.02506778855645564
100,0.04,0.01712774210192336,0.042356506838725494,-0.045727789596018205
100,0.05,0.029990557367916892,0.03696900107972567,-0.0445441832434419
100,0.06,0.019503623842087595,0.035513119637410995,-0.03594460052508097
100,0.07,0.009009895253523581,0.02860804821831309,-0.03829471676005625
100,0.08,0.0005021570472365511,0.05628961144447331,-0.00504036774340122
100,0.09,-0.0068448658596871334,0.03076855127477529,0.015231509680507571
100,0.1,-0.01938118681145795,0.015523530609254267,0.09073400365165085
100,0.11,-0.07284387389198699,-0.0024523405745249254,0.1758222307435311
100,0.12,-0.11575025756452106,0.03262611956251505,0.32765334372184185
100,0.13,-0.10860222796421226,0.06749846395628724,0.39197843078076033
100,0.14,-0.15025312401694893,0.08315097746325151,0.6041508679484302
100,0.15,-0.3949257525685823,0.09019321795151569,0.6980159600805075
100,0.16,-0.4564825911566857,0.14448718841772745,0.8643786835778542
100,0.17,-0.4643839521850026,0.11786705418086996,1.1377530790624029
100,0.18,-0.4945207988335057,0.18031658546967225,1.3112698806642449
100,0.19,-0.4996101824035293,0.3602710401152329,1.6278935372911116
100,0.2,-0.5180607140625569,0.35608258099928136,1.8332906691612294
200,0.0,0.0,0.0,0.0
200,0.01,0.016409709397368744,0.00023504624776293784,-0.024136359105362718
200,0.02,0.012439394071506626,0.011241875664882883,-0.021036142561381865
200,0.03,0.004079716614572959,-0.04555452168252927,0.01079977659608389
200,0.04,0.009811008148055578,-0.020836220202451017,-0.01129763362655112
200,0.05,-0.03348158819622072,0.016672027482130147,0.028472998813153797
200,0.06,-0.043794710094562816,0.013082671487349984,0.0719154406784881
200,0.07,-0.04393160931594764,-0.015551234063611474,0.10694356994539689
200,0.08,-0.0630993591860758,-0.025585452168556344,0.13946427524367166
200,0.09,-0.0560141507092169,0.03988005907393699,0.29809343278575545
200,0.1,-0.011579013151859387,0.051696259730238836,0.34063597989726807
200,0.11,-0.04350889493375121,0.03367147037172202,0.5411950948632978
200,0.12,-0.12099790452138849,0.05122171950402077,0.691720012659232
200,0.13,-0.07573019252066261,0.08005412770704723,0.793726739219384
200,0.14,-0.12655286163324675,0.09848105118064154,0.9984202391581861
200,0.15,-0.15606989284023243,0.11892475536642878,1.2065533551255074
200,0.16,-0.1433242513422961,0.11957990708804189,1.3716379669168008
200,0.17,-0.16662576703905432,0.10250312077244673,1.6758753268564632
200,0.18,-0.12345507204910078,0.1297954918101567,1.8767465832372567
200,0.19,-0.17880900793743496,0.12150350719226923,2.214715854093882
200,0.2,-0.1536313316638385,0.13344795673004484,2.499669677819743
300,0.0,0.0,0.0,0.0
300,0.01,-0.002603985942197795,-8.431164485855903e-05,-0.0162803275482446
300,0.02,0.0028462094596015675,0.009613863932855795,-0.020108828503733637
300,0.03,-0.03524123751964937,-0.03909669228498913,0.03396695642793902
300,0.04,-0.06826313689704123,0.0014118575913997233,0.042133904015202006
300,0.05,-0.06443822121495303,-0.017502419692227992,0.052988755124786735
300,0.06,-0.08837604443872493,-0.010714623613580445,0.10097508281358358
300,0.07,-0.08461858367221353,-0.02115257617873212,0.11364927453153228
300,0.08,-0.06811801819263154,-0.02865178142300451,0.12772151082998207
300,0.09,-0.08730008126064705,0.02023245758675074,0.2015417214143902
300,0.1,-0.04519496517750454,0.03426962285740487,0.3851190079952716
300,0.11,-0.04793865860977676,0.020389337659455723,0.4202729395371527
300,0.12,-0.040548142305116386,0.02604296141644369,0.4297339829948683
