name,t_ns,dx,dy,dz
srcZ (+z),0.43,-0.045678229929322356,-0.09987678493599007,-5.893775181355665
srcZ (+z),0.44,-0.0032663372321906086,-0.07474824557281323,-6.0760721303972645
srcZ (+z),0.45,0.03078767514216452,-0.11531614915024946,-6.354883479584353
srcZ (+z),0.46,-8.588663039432733e-06,-0.0940102290231657,-6.486828852930735
srcZ (+z),0.47000000000000003,0.03186666107898617,-0.11868758383695167,-6.676144346481508
srcZ (+z),0.48,0.005542411842842654,-0.04455027397026612,-6.89656143767867
srcZ (+z),0.49,0.0417904688568278,-0.051456982436207,-7.102620379925774
srcZ (+z),0.5,0.05431294900646577,-0.011042666126030554,-7.390343931525217
srcZ (-z),0.0,0.0,0.0,0.0
srcZ (-z),0.01,-0.02402480775132787,0.006348972558527066,-0.013328480462327265
srcZ (-z),0.02,0.03453563761055989,0.006463653523855584,-0.030797745749190145
srcZ (-z),0.03,0.015114306011312808,-0.013575423818178224,-0.019606979380917267
srcZ (-z),0.04,0.020057305929441327,0.013517820164004492,-0.021405413707991986
srcZ (-z),0.05,0.02051814245020367,0.022833928901178524,-0.02641999016713115
srcZ (-z),0.06,0.08094054851279255,0.004204586134743948,-0.08845209145131605
srcZ (-z),0.07,0.06394487173357533,0.021626305396193146,-0.11148996883203921
srcZ (-z),0.08,0.12334274238084932,0.04591897691325286,-0.1738309930667441
srcZ (-z),0.09,0.14400798319837094,0.09462901297804295,-0.33655902992754255
srcZ (-z),0.1,0.13245002515061802,0.11728755618987208,-0.42593113076847544
srcZ (-z),0.11,0.10072686901318663,0.08614461429420218,-0.6189719363584629
srcZ (-z),0.12,0.08440788421188118,0.13243123294467554,-0.7134557167435958
srcZ (-z),0.13,0.025841086058704835,0.08146081025941143,-0.8981202068397636
srcZ (-z),0.14,-0.03565204291820834,0.10771335926391501,-1.1306046363685596
srcZ (-z),0.15,-0.08673818509991094,0.04443127306238637,-1.420979999966278
srcZ (-z),0.16,-0.10909711914801436,0.03794597812136047,-1.6618460893166829
srcZ (-z),0.17,-0.39273334846777175,0.029173898861582618,-2.0976787905150616
srcZ (-z),0.18,-0.11664868151481755,-0.020249836221854167,-2.5126400942213682
srcZ (-z),0.19,-0.08946823491476864,-0.05045649751703963,-2.9246960084772415
srcZ (-z),0.2,0.005028544428821391,-0.05229598102662436,-3.45267580680148
srcZ (-z),0.21,0.1098540529790313,-0.05144032198985827,-3.9533972900412095
srcZ (-z),0.22,0.17506214657350938,-0.01094909709037495,-4.543192296736166
srcZ (-z),0.23,0.1293023622109324,0.05151125256206157,-5.219472955758086
srcZ (-z),0.24,-0.004813833804256262,0.06693153064461299,-5.904379269420531
srcZ (-z),0.25,-0.05530156635607142,0.010722603173036306,-6.491174781200684
srcZ (-z),0.26,-0.0991093093204114,-0.02676442172533911,-7.233512808184536
srcZ (-z),0.27,-0.05562598806735864,-0.08224895219113648,-7.848582992395941
srcZ (-z),0.28,0.03248241944711694,-0.026358141920511002,-8.498278583012421
srcZ (-z),0.29,0.10936031759332111,-0.005963969231810751,-9.246213190246834
srcZ (-z),0.3,0.006824830026769035,0.06612191915747802,-9.960427649523943
srcZ (-z),0.31,-0.06935525631239159,0.14332628045123744,-10.61918750831839
srcZ (-z),0.32,-0.12151073021224691,0.007269138681536448,-11.342189499273275
srcZ (-z),0.33,-0.04802136393536216,-0.017724203862503174,-12.087178134521729
srcZ (-z),0.34,0.038409509022354626,-0.11320743190931638,-12.817586338451157
srcZ (-z),0.35000000000000003,0.12281217765784547,-0.0071088467012998535,-13.552118924447472
srcZ (-z),0.36,0.1419904015122384,0.10052486727486709,-14.21703337421171
srcZ (-z),0.37,0.04843857254094531,0.3910094046693758,-14.943652504329137
srcZ (-z),0.38,-0.04782268707791105,0.13281884226904242,-15.65785298267261
srcZ (-z),0.39,-0.04473193567338641,0.011213081422383198,-16.371341398768905
srcZ (-z),0.4,0.020204126133872794,-0.0019992719450598884,-16.95385776168678
srcZ (-z),0.41000000000000003,-0.008983705352729745,-0.020913489805035823,-17.589704143830073
srcZ (-z),0.42,-0.043719323121838016,-0.04529591575284898,-17.96591322094868
srcZ (-z),0.43,-0.0022592114337633973,-0.007444972313958687,-18.122253446537925
srcZ (-z),0.44,0.01454264727018284,-0.0073360929646817405,-18.129433008460907
srcZ (-z),0.45,0.05386440946386629,-0.009377058114321104,-18.005755870488784
srcZ (-z),0.46,0.0003030342616696658,0.009332163188616962,-17.919289071352466
srcZ (-z),0.47000000000000003,0.03578808606145501,-0.04862971904998049,-17.57882668658504
srcZ (-z),0.48,-0.04481653655926365,-0.05239172461537934,-17.376269857800775
srcZ (-z),0.49,-0.06751957554775602,0.00555092419947556,-17.168576042617634
srcZ (-z),0.5,0.009571209871523934,-0.0001501393284364383,-16.94037923266807
