name,t_ns,dx,dy,dz
srcX (+x),0.0,0.0,0.0,0.0
srcX (+x),0.01,0.016409709397368744,0.00023504624776293784,-0.024136359105362718
srcX (+x),0.02,0.012439394071506626,0.011241875664882883,-0.021036142561381865
srcX (+x),0.03,0.004079716614572959,-0.04555452168252927,0.01079977659608389
srcX (+x),0.04,0.009811008148055578,-0.020836220202451017,-0.01129763362655112
srcX (+x),0.05,-0.03348158819622072,0.016672027482130147,0.028472998813153797
srcX (+x),0.06,-0.043794710094562816,0.013082671487349984,0.0719154406784881
srcX (+x),0.07,-0.04393160931594764,-0.015551234063611474,0.10694356994539689
srcX (+x),0.08,-0.0630993591860758,-0.025585452168556344,0.13946427524367166
srcX (+x),0.09,-0.0560141507092169,0.03988005907393699,0.29809343278575545
srcX (+x),0.1,-0.011579013151859387,0.051696259730238836,0.34063597989726807
srcX (+x),0.11,-0.04350889493375121,0.03367147037172202,0.5411950948632978
srcX (+x),0.12,-0.12099790452138849,0.05122171950402077,0.691720012659232
srcX (+x),0.13,-0.07573019252066261,0.08005412770704723,0.793726739219384
srcX (+x),0.14,-0.12655286163324675,0.09848105118064154,0.9984202391581861
srcX (+x),0.15,-0.15606989284023243,0.11892475536642878,1.2065533551255074
srcX (+x),0.16,-0.1433242513422961,0.11957990708804189,1.3716379669168008
srcX (+x),0.17,-0.16662576703905432,0.10250312077244673,1.6758753268564632
srcX (+x),0.18,-0.12345507204910078,0.1297954918101567,1.8767465832372567
srcX (+x),0.19,-0.17880900793743496,0.12150350719226923,2.214715854093882
srcX (+x),0.2,-0.1536313316638385,0.13344795673004484,2.499669677819743
srcZ (+z),0.0,0.0,0.0,0.0
srcZ (+z),0.01,0.016112012144780866,-0.004891624922660043,-0.02326044481358025
srcZ (+z),0.02,-0.0032691719360968823,-0.032519415028666294,-0.0185448303781719
srcZ (+z),0.03,-0.013798641816979542,-0.031069023728370837,0.007169207655707055
srcZ (+z),0.04,-0.011097743360267032,-0.01949494640916072,-0.02403586901034416
srcZ (+z),0.05,-0.08392002159665068,-0.06583957974131494,-0.01040591087359033
srcZ (+z),0.06,-0.13442853039799374,-0.08278564076593399,-0.03629814828705591
srcZ (+z),0.07,-0.10565464035337868,-0.08495841810013971,-0.07534616110563164
srcZ (+z),0.08,-0.11534098651359771,-0.10374676368894242,-0.10875037991740301
srcZ (+z),0.09,-0.12213169215567989,-0.11002586420359252,-0.12795588092676272
srcZ (+z),0.1,-0.15340882951478108,-0.13124285964157423,-0.14345583103217052
srcZ (+z),0.11,-0.12054731594596292,-0.18805759723821683,-0.1979232441017942
srcZ (+z),0.12,-0.1166521212353473,-0.3974247897856884,-0.33475373012265663
srcZ (+z),0.13,-0.04136795052918174,-0.45873089839111003,-0.4568188463333059
srcZ (+z),0.14,0.03536988125748408,-0.47013604435331047,-0.5530251315912551
srcZ (+z),0.15,0.028428195306705817,-0.39430677741603404,-0.6494455680704192
srcZ (+z),0.16,0.05544017827943293,-0.14958849386541218,-0.8432413936696151
srcZ (+z),0.17,0.046117260524781045,-0.1471438383289652,-0.9494511387223667
srcZ (+z),0.18,0.11712506218575315,-0.13534517471587293,-1.1389596547138012
srcZ (+z),0.19,0.1845450616537434,-0.12627889121472435,-1.3218455416082548
srcZ (+z),0.2,0.4206950754919916,-0.09231753557406819,-1.464775962729874
srcZ (+z),0.21,0.3959164891825644,-0.028962014634156933,-1.615092624406856
srcZ (+z),0.22,0.43362782311601933,-0.007022463537573742,-1.9582771804440713
srcZ (+z),0.23,0.4634963130684504,0.05777488350651084,-2.143802150265202
srcZ (+z),0.24,0.4042595829565414,0.10930693129591873,-2.3937618236268468
srcZ (+z),0.25,0.39653206455006185,0.3776091647871027,-2.52147801875239
srcZ (+z),0.26,0.15181606326030206,0.3993987346603234,-2.7608051976986876
srcZ (+z),0.27,0.07439910390239035,0.4245255934202703,-2.9316482707729965
srcZ (+z),0.28,0.02699942716256132,0.46152357144582723,-3.068185409590456
srcZ (+z),0.29,-0.017702627102028856,0.4109220321309089,-3.392725425762933
srcZ (+z),0.3,-0.0448979252441859,0.48397056905121616,-3.5409503347112907
srcZ (+z),0.31,-0.15115992784061305,0.4459384344920068,-3.6223998320804114
srcZ (+z),0.32,-0.3400327015671678,0.3946427085862965,-3.848681224752568
srcZ (+z),0.33,-0.40772207480617345,0.41801093202571243,-4.010097145384656
srcZ (+z),0.34,-0.39174129189643736,0.1349257787272791,-4.118361533174841
srcZ (+z),0.35000000000000003,-0.39748376241274747,0.1291383736668088,-4.317928299446458
srcZ (+z),0.36,-0.43455600307746073,0.060570799113591534,-4.503263716114753
srcZ (+z),0.37,-0.14242764802004262,0.020947407322385207,-4.701362554177258
srcZ (+z),0.38,-0.1358651803708213,0.01168364008757905,-4.900815865727368
srcZ (+z),0.39,-0.10822725293190771,0.04312666011026423,-5.147887069002928
srcZ (+z),0.4,-0.11550756939767481,-0.03120641624205334,-5.373060548449751
srcZ (+z),0.41000000000000003,-0.1286596159469298,-0.0243381310965809,-5.54295012469661
srcZ (+z),0.42,-0.121417241275406,-0.08251463015385596,-5.7200530204146744
