t_ns,z_nm,core
0.0,28.443831230600313,1984
0.05,28.009134523786056,2028
0.1,27.838440535298798,2016
0.15000000000000002,27.70766131592288,1956
0.2,27.583234385128975,1908
0.25,27.54899313312121,1888
0.30000000000000004,27.62765071069365,1916
0.35000000000000003,27.79519382078528,1860
0.4,28.021843842275995,1880
0.45,28.276257777217474,1956
0.5,28.52544369565652,1956
0.55,28.74941971629416,1996
0.6000000000000001,28.93881992621968,2116
0.65,29.088063425302135,2128
0.7000000000000001,29.194573602962734,2080
0.75,29.258225577532723,2072
0.8,29.281316863637965,2080
0.8500000000000001,29.27017608231819,2088
0.9,29.235565293935075,2156
0.9500000000000001,29.190551524255117,2140
1.0,29.14752651036805,2128
