# t (s)	mx ()	my ()	mz ()	E_total (J)
0	-4.3296813e-10	-9.469986e-10	0.9960304	1.0892509e-18
5.377044826655841e-14	-4.3678283e-10	-9.555816e-10	0.99603045	1.0892573e-18
1.0104539196237782e-13	-4.7302245e-10	-9.448529e-10	0.99603045	1.0893005e-18
1.5108479259874257e-13	-4.901886e-10	-9.756088e-10	0.9960304	1.089408e-18
2.0156211618086983e-13	-4.8828125e-10	-1.0151863e-09	0.9960304	1.0895888e-18
2.5020229059578725e-13	-4.901886e-10	-1.0414124e-09	0.9960304	1.0898495e-18
3.015180958983658e-13	-4.6157836e-10	-1.0528565e-09	0.9960304	1.0902805e-18
3.5244092084798225e-13	-4.6539306e-10	-1.0809899e-09	0.9960304	1.0909696e-18
4.0228844760423227e-13	-4.940033e-10	-1.0471344e-09	0.9960304	1.0918917e-18
4.512188436785955e-13	-5.083084e-10	-1.0535717e-09	0.9960304	1.0930606e-18
5.026927626919734e-13	-5.159378e-10	-1.0163784e-09	0.99603033	1.0946367e-18
5.504202026338414e-13	-5.607605e-10	-1.0089874e-09	0.9960304	1.0964805e-18
6.008395376257352e-13	-5.664825e-10	-9.708404e-10	0.99603033	1.0988921e-18
6.506351646347423e-13	-6.055832e-10	-9.469986e-10	0.99603033	1.1017093e-18
7.028516556630268e-13	-5.8746336e-10	-9.229183e-10	0.9960303	1.1050898e-18
7.513935434939413e-13	-5.970001e-10	-8.926392e-10	0.99603033	1.1085973e-18
8.024063332978087e-13	-5.607605e-10	-8.945465e-10	0.9960303	1.1126452e-18
8.525534937862222e-13	-5.149841e-10	-8.8882446e-10	0.9960302	1.1166672e-18
9.013562532420741e-13	-4.844666e-10	-8.819103e-10	0.9960302	1.1200354e-18
9.519959401250402e-13	-4.787445e-10	-8.792877e-10	0.9960302	1.1231082e-18
1.0011543959969414e-12	-4.2152404e-10	-8.926392e-10	0.99603	1.1252749e-18
1.0519238218768057e-12	-4.005432e-10	-9.088516e-10	0.99603	1.1269222e-18
1.1013884623568813e-12	-3.9863587e-10	-9.527207e-10	0.99603	1.1278658e-18
1.1522581798615022e-12	-4.1943787e-10	-9.560585e-10	0.99603015	1.1282861e-18
1.2000409134172606e-12	-4.425049e-10	-9.279251e-10	0.99603	1.1284549e-18
1.2522070628693946e-12	-4.6539306e-10	-9.231567e-10	0.99603	1.1283937e-18
