# t (s)	mx ()	my ()	mz ()	E_total (J)
3.0506405630191656e-12	-3.7002562e-10	-8.764267e-10	0.9960285	1.2146896e-18
3.1014007779267715e-12	-3.5858155e-10	-8.955002e-10	0.9960284	1.2137227e-18
3.1502670141377497e-12	-3.566742e-10	-9.2029573e-10	0.9960285	1.2133891e-18
3.2023034872609127e-12	-3.7765502e-10	-9.0312957e-10	0.99602836	1.2139387e-18
3.2502563086102472e-12	-3.33786e-10	-8.907318e-10	0.99602836	1.2156877e-18
3.301225829384416e-12	-3.2806396e-10	-8.907318e-10	0.99602836	1.2183594e-18
3.3517589279703842e-12	-3.0517577e-10	-8.8977814e-10	0.99602836	1.2203498e-18
3.402203854807306e-12	-2.822876e-10	-8.430481e-10	0.9960283	1.2222271e-18
3.4523351962630713e-12	-2.822876e-10	-8.573532e-10	0.9960283	1.223635e-18
3.501767894786755e-12	-2.8419495e-10	-8.773804e-10	0.99602836	1.2240226e-18
3.550770518137083e-12	-3.414154e-10	-8.4519386e-10	0.99602836	1.2238332e-18
3.6021975404930387e-12	-3.2711028e-10	-8.72612e-10	0.9960284	1.2236002e-18
3.6513425109503925e-12	-3.2520295e-10	-8.928776e-10	0.9960284	1.2235969e-18
3.700931675159153e-12	-3.4332276e-10	-8.544922e-10	0.9960284	1.2242051e-18
3.751071592855451e-12	-3.2806396e-10	-8.621216e-10	0.9960284	1.2256456e-18
3.801163896570513e-12	-3.3569336e-10	-8.7785723e-10	0.99602836	1.2270247e-18
3.851303947014481e-12	-2.8038025e-10	-9.1052055e-10	0.99602836	1.228494e-18
3.9015723870518394e-12	-2.3651123e-10	-9.059906e-10	0.99602836	1.2301908e-18
3.9516658556871675e-12	-2.384186e-10	-8.3637236e-10	0.99602836	1.2316164e-18
4.0018721361124395e-12	-2.5081634e-10	-8.544922e-10	0.9960283	1.2332469e-18
4.052466070435541e-12	-2.4604796e-10	-8.325577e-10	0.99602836	1.2355848e-18
4.102217469550785e-12	-2.641678e-10	-8.182526e-10	0.99602836	1.2365185e-18
4.151232144693149e-12	-2.4804472e-10	-8.687973e-10	0.9960283	1.2363334e-18
4.200072932706958e-12	-2.6321412e-10	-8.75473e-10	0.9960284	1.2359069e-18
4.251268505644674e-12	-2.7656555e-10	-8.72612e-10	0.9960284	1.2353425e-18
4.300044694234562e-12	-2.6702882e-10	-8.7356566e-10	0.9960286	1.2348317e-18
4.3513115556277524e-12	-2.8896333e-10	-8.7237356e-10	0.9960284	1.2343665e-18
4.40017739787401e-12	-3.2043457e-10	-8.6593627e-10	0.99602854	1.2339797e-18
4.451713042291164e-12	-3.0136107e-10	-8.382797e-10	0.9960284	1.2338865e-18
4.5010788079750314e-12	-2.6321412e-10	-8.7356566e-10	0.9960285	1.2342078e-18
4.550626260507186e-12	-2.6130675e-10	-8.459091e-10	0.9960284	1.2348043e-18
4.600394578285835e-12	-2.6512145e-10	-8.430481e-10	0.99602836	1.2357521e-18
4.650924861746608e-12	-2.6893615e-10	-8.5926055e-10	0.9960284	1.2380323e-18
4.700104151673969e-12	-2.8800964e-10	-8.5258484e-10	0.9960283	1.2426896e-18
4.752389466291782e-12	-2.6893615e-10	-8.442402e-10	0.9960282	1.2490185e-18
4.8017486832465014e-12	-2.784729e-10	-8.707047e-10	0.996028	1.2544464e-18
4.8511838235873804e-12	-2.5939942e-10	-8.640289e-10	0.99602795	1.2602612e-18
4.900611445696414e-12	-2.2888183e-10	-8.6021423e-10	0.9960278	1.2662624e-18
4.95213546244203e-12	-2.5177002e-10	-8.4495544e-10	0.99602777	1.2714263e-18
5.000374431084515e-12	-2.4986266e-10	-8.5830687e-10	0.99602765	1.2746613e-18
5.050666432261508e-12	-2.384186e-10	-8.575916e-10	0.9960275	1.2769913e-18
5.100644405975795e-12	-2.2888183e-10	-8.506775e-10	0.9960276	1.2786586e-18
5.150326200013807e-12	-2.117157e-10	-8.7356566e-10	0.9960276	1.2797164e-18
5.202421156861226e-12	-1.7356873e-10	-8.5163115e-10	0.9960276	1.2806866e-18
5.252247140178406e-12	-2.1362305e-10	-8.5163115e-10	0.9960274	1.2820581e-18
5.302240778488269e-12	-1.964569e-10	-8.430481e-10	0.99602735	1.2838034e-18
5.3521912044253754e-12	-1.9711256e-10	-8.2993507e-10	0.9960273	1.2854686e-18
5.401968515495891e-12	-1.2397766e-10	-7.8296664e-10	0.9960273	1.2867702e-18
5.451645564614261e-12	-1.2779236e-10	-7.138252e-10	0.9960273	1.2878637e-18
5.5015115472816686e-12	-1.7929078e-10	-7.0095063e-10	0.9960273	1.2893786e-18
5.551841814912225e-12	-2.2506715e-10	-7.0762635e-10	0.99602723	1.2919926e-18
5.6002006694190664e-12	-2.0599365e-10	-7.1525574e-10	0.9960271	1.2959187e-18
5.651113243262568e-12	-1.5938283e-10	-7.2193146e-10	0.9960271	1.3001532e-18
5.701620820818452e-12	-1.373291e-10	-7.0667266e-10	0.996027	1.3033704e-18
5.751674567349723e-12	-1.7738343e-10	-6.713867e-10	0.99602705	1.3054619e-18
5.80144924116949e-12	-1.7738343e-10	-7.1525574e-10	0.9960271	1.306891e-18
5.851060918557873e-12	-1.5258789e-10	-7.0095063e-10	0.99602705	1.3079443e-18
5.900544719923195e-12	-1.5926362e-10	-6.904602e-10	0.996027	1.3087066e-18
5.952228808315465e-12	-1.4495849e-10	-7.133484e-10	0.996027	1.3088981e-18
6.001048336123654e-12	-1.3542176e-10	-7.1430206e-10	0.996027	1.308231e-18
6.051957725042041e-12	-1.4019012e-10	-7.0095063e-10	0.99602693	1.3068406e-18
6.100506380802132e-12	-1.5640259e-10	-6.837845e-10	0.9960269	1.3056462e-18
6.151885722296243e-12	-1.8501281e-10	-6.985664e-10	0.996027	1.3051986e-18
6.201361543573796e-12	-1.8692016e-10	-7.4768064e-10	0.9960271	1.3059407e-18
6.251577271834313e-12	-1.0108948e-10	-7.1525574e-10	0.99602693	1.3084826e-18
6.301896333480603e-12	-1.06811525e-10	-6.904602e-10	0.996027	1.3113184e-18
6.351866210142588e-12	-1.2588501e-10	-6.4754485e-10	0.99602693	1.3132767e-18
6.401762932655276e-12	-1.3351441e-10	-6.4754485e-10	0.9960269	1.3150666e-18
6.451813559856558e-12	-1.4877319e-10	-6.6184996e-10	0.9960269	1.3172686e-18
6.501824039825086e-12	-1.5830993e-10	-6.6661837e-10	0.9960268	1.3193872e-18
6.551690032937544e-12	-1.6403198e-10	-6.8235395e-10	0.9960268	1.3211465e-18
6.601504115523657e-12	-1.8501281e-10	-6.9236755e-10	0.99602675	1.3227865e-18
6.6513897604082685e-12	-1.6784668e-10	-6.761551e-10	0.99602664	1.3246244e-18
6.7015035019577415e-12	-1.5640259e-10	-6.637573e-10	0.9960266	1.3270971e-18
