label,frame,time_ns,global_rms,core_rms,background_rms,core_to_background_rms,core_energy_fraction,core_count,centroid_x_nm,centroid_y_nm,centroid_z_nm,dx_nm,dy_nm,dz_nm,displacement_nm
srcX_200GHz,0,0.0,0.0,0.0,0.0,nan,nan,908,24.999993058003803,24.999998671007276,25.050465261088206,0.0,0.0,0.0,0.0
srcX_200GHz,1,0.01,0.016159887881237064,0.00936926686907293,0.016164761959146554,0.5796105685163826,0.00030522519554204654,907,24.78273626819033,24.999766474213857,25.048161711254973,-0.2172567898134723,-0.00023219679341934807,-0.0023035498332326654,0.21726912568802853
srcX_200GHz,2,0.02,0.023271835489372877,0.025635816122397764,0.023269577813852537,1.1016880635942001,0.0011018408458807864,904,25.06067717302217,24.995674966573763,25.040559394731662,0.060684115018368345,-0.004323704433513598,-0.009905866356543669,0.06163913062223256
srcX_200GHz,3,0.03,0.02848261300445815,0.024528807480322434,0.028485956723639273,0.8610842078534449,0.0006734092218645208,906,25.07836891704722,24.990483608838392,25.038679032780763,0.07837585904341893,-0.009515062168883759,-0.011786228307443025,0.07982622918932578
srcX_200GHz,4,0.04,0.03494617168369329,0.042331766696221136,0.03493874939393075,1.2115993683384283,0.0013323533677161016,903,24.65600514196854,24.98941091856234,25.039318140132306,-0.3439879160352639,-0.010587752444937593,-0.011147120955900647,0.3443313014898944
srcX_200GHz,5,0.05,0.040862161199766184,0.06520429719123681,0.04083343895018465,1.5968358009420598,0.002312041469405793,920,24.8746580602971,24.991884730580008,25.03890440483786,-0.12533499770670176,-0.008113940427268318,-0.011560856250344642,0.12612831195507743
srcX_200GHz,6,0.06,0.04534786752726975,0.09170507379013886,0.04528415801263532,2.0251027691527583,0.0037132897542058586,932,25.06364981329004,24.999450261445393,25.04525008943149,0.06365675528623882,-0.0005484095618832896,-0.005215171656715256,0.0638723826237026
srcX_200GHz,7,0.07,0.04994287936492077,0.12268504971668574,0.049828493665162545,2.4621464686671968,0.005479260904676626,953,24.67106883501145,25.008168464985566,25.05590107870956,-0.32892422299235236,0.008169793978289874,0.005435817621354033,0.32907056707943827
srcX_200GHz,8,0.08,0.05452616536501674,0.1689850862277831,0.05431254334179429,3.111345479889295,0.008721128612044299,969,24.71625802015621,25.020785706694998,25.07745354966681,-0.2837350378475918,0.020787035687721556,0.026988288578603914,0.2857727073662895
srcX_200GHz,9,0.09,0.05817579703665095,0.2289055031049695,0.05779168480480741,3.9608726389981963,0.014057679308606269,974,25.02155481587967,25.036547865009176,25.112272786205576,0.021561757875868892,0.03654919400189982,0.06180752511736998,0.07497281604702083
srcX_200GHz,10,0.1,0.062101343956171326,0.29986092001122966,0.061468393735072284,4.878294384974904,0.021170133114100674,960,24.77203204157884,25.043968896065763,25.158729722594387,-0.22796101642496325,0.043970225058487244,0.10826446150618096,0.2561655701424759
srcX_200GHz,11,0.11,0.06645110761761086,0.39836845370595075,0.06538757242192356,6.092418466546149,0.03263257011574101,939,24.66382416785042,25.046787676270732,25.204745204733985,-0.33616889015338103,0.04678900526345586,0.15427994364577913,0.37282842532704563
srcX_200GHz,12,0.12,0.07076606913549395,0.5087183416497391,0.06911721173221777,7.360226619393689,0.04692351056352222,959,24.91833126161256,25.056944895056176,25.268797571644825,-0.08166179639124138,0.05694622404890026,0.21833231055661884,0.2399594116851097
srcX_200GHz,13,0.13,0.07503269185743879,0.621141610476528,0.07269375021397037,8.544635661913565,0.06222516275819536,968,24.876525531719068,25.062711225761102,25.345619433637452,-0.12346752628473467,0.06271255475382631,0.29515417254924614,0.32602619548719314
srcX_200GHz,14,0.14,0.07978078467675843,0.7324635458134314,0.07670183139099791,9.54949226804768,0.07653520885617766,966,24.700352816530117,25.065617007432905,25.424522906115023,-0.2996402414736856,0.06561833642562931,0.3740576450268165,0.48374493505222727
srcX_200GHz,15,0.15,0.08473852593913703,0.8509503425953973,0.08080252709773575,10.531234271498949,0.09156562696804728,968,24.842852906529387,25.066302606592952,25.50460281498434,-0.1571401514744153,0.06630393558567604,0.4541375538961354,0.4851083971014282
srcX_200GHz,16,0.16,0.08970162625572954,0.9664720853543232,0.08488103258701259,11.386196137088469,0.10540563882869672,968,24.911067421651193,25.065148759553864,25.60170287744729,-0.08892563635260942,0.06515008854658788,0.5512376163590851,0.562152303675428
srcX_200GHz,17,0.17,0.09505545944117577,1.07730488829972,0.08938110784125297,12.052937296470839,0.11662965175237888,974,24.775885369102742,25.066768435570825,25.70542082444216,-0.2241076889010607,0.06676976456354922,0.6549555633539548,0.6954489540237606
srcX_200GHz,18,0.18,0.100605669579598,1.1774585467262262,0.09418437401416689,12.501633726939852,0.12437474108500268,974,24.81353913823561,25.073442144757628,25.8112940570012,-0.18645391976819425,0.07344347375035198,0.7608287959129925,0.7867779005055091
srcX_200GHz,19,0.19,0.1059698362693565,1.2616651668315562,0.09896031976853704,12.749202607494846,0.12870918714466215,973,24.929416123998973,25.079930192229597,25.924145592684162,-0.0705769340048299,0.07993152122232061,0.8736803315959563,0.8801633220692944
srcX_200GHz,20,0.2,0.1110439919560314,1.331164337778159,0.10359313564663668,12.849928033058601,0.13048454185473293,974,24.853981514590743,25.083710055838605,26.05034883222292,-0.14601154341306,0.08371138483132867,0.9998835711347134,1.0139497633439982
srcX_1000GHz,0,0.0,0.0,0.0,0.0,nan,nan,908,24.999993058003803,24.999998671007276,25.050465261088206,0.0,0.0,0.0,0.0
srcX_1000GHz,1,0.01,0.010483487482902247,0.008630005645867335,0.010485022952374343,0.8230793280154969,0.0006153135036634543,910,24.995208267791668,24.99949290692728,25.049403079769316,-0.004784790212134737,-0.0005057640799961405,-0.0010621813188897988,0.004927295793125596
srcX_1000GHz,2,0.02,0.017729773963158356,0.020193262140190207,0.017727379379119987,1.1391002419666516,0.001177856592820658,901,25.001605520782647,24.996188687859078,25.048023435694805,0.0016124627788443036,-0.003809983148197915,-0.002441825393400876,0.0048040107259005715
srcX_1000GHz,3,0.03,0.024025160480355155,0.039397330025810307,0.02400671332966573,1.6410963668702614,0.002441669256299232,902,24.99880398426634,24.99596632085314,25.04967043633371,-0.0011890737374642413,-0.004032350154137276,-0.0007948247544966591,0.004278491616102428
srcX_1000GHz,4,0.04,0.029182498452587552,0.0705866369323101,0.029118104173696188,2.424149474541494,0.005312340299826959,923,24.994817887543565,24.999293452587356,25.0668244283524,-0.0051751704602374105,-0.0007052184199203282,0.01635916726419495,0.01717271311966215
srcX_1000GHz,5,0.05,0.033809384586323814,0.1261262139051344,0.03361035422973452,3.7525999590195527,0.012636361322802606,958,24.993966749517185,25.002535630363823,25.09976701518335,-0.006026308486617893,0.002536959356547186,0.04930175409514348,0.04973344461839188
srcX_1000GHz,6,0.06,0.038111625045632244,0.20683680158250126,0.03761562383905572,5.49869390622058,0.026744010939017834,965,24.982250258831723,25.007446635824042,25.155726708342865,-0.01774279917207977,0.007447964816766017,0.10526144725465869,0.10700584741273643
